,BCT_CODBUR,CTR_MATFIS,CTR_CATEGO_X,FJU_CODFJU,CTR_CESSAT,ACT_CODACT,CTR_RATISS,EXE_EXERCI
108,16,4938,0,22,0,5603,0,2015
109,124,6361,2,99,0,6271,0,2013
110,223,435,1,99,0,4204,0,2013
111,303,3400,2,99,0,6303,0,2014
112,13,4359,1,99,0,4407,0,2015
113,700,7255,0,21,0,6105,0,2015
114,43,10082,0,22,0,4101,0,2014
115,413,1798,2,99,0,6308,0,2015
116,153,15416,0,22,0,4204,0,2015
117,244,13927,1,99,0,4203,0,2013
118,172,3731,0,22,0,4804,0,2016
119,137,8770,2,99,0,6412,0,2015
120,500,11624,0,22,0,3604,0,2017
121,500,2084,0,22,0,5651,0,2015
122,15,7382,0,22,0,4204,0,2014
123,221,12519,2,99,0,6308,0,2016
124,21,6389,0,22,1,5803,0,2014
125,35,13258,0,22,1,4221,0,2015
126,246,2889,0,23,0,3201,0,2015
127,161,15536,1,99,0,4204,0,2014
128,291,3538,0,23,0,4101,0,2017
129,246,2261,2,99,0,6308,0,2014
130,62,13753,0,21,0,6104,0,2015
131,19,13619,0,22,0,3912,0,2014
132,253,2335,2,99,0,6271,0,2013
133,222,11887,1,99,0,2913,0,2013
134,401,8398,0,22,0,3601,0,2015
135,411,5914,0,22,0,6311,0,2013
136,248,12462,1,99,0,4703,0,2016
137,196,2855,1,99,0,4210,0,2017
138,500,13725,0,22,0,5321,0,2013
139,411,1301,0,22,0,3802,0,2017
140,172,2337,1,99,0,4221,0,2013
141,404,5759,1,99,0,4417,0,2013
142,248,10512,0,23,0,4216,0,2014
143,196,6214,1,99,0,1007,0,2013
144,51,7037,1,99,0,5309,0,2015
145,101,11520,0,22,0,5653,0,2014
146,62,8167,1,99,0,4802,0,2015
147,75,1474,0,21,0,4415,0,2013
148,37,11067,1,99,0,4203,0,2013
149,239,15557,0,22,0,3912,0,2015
150,125,8635,0,22,0,4208,0,2014
151,700,3468,0,22,0,2914,0,2017
152,181,7111,0,22,0,6401,0,2013
153,201,10729,0,22,0,5714,0,2014
154,215,1067,1,99,0,4101,0,2017
155,404,1239,0,22,0,2201,0,2014
156,410,2574,1,99,1,4222,0,2014
157,195,4452,1,99,0,4101,0,2015
158,114,2463,1,99,0,4204,0,2014
159,700,7274,0,22,0,4204,0,2014
160,246,2618,2,99,0,6275,0,2016
161,412,3200,0,21,1,5206,0,2013
162,403,3053,0,22,0,5703,0,2013
163,252,14011,0,21,0,4405,0,2015
164,122,4340,1,99,0,4221,0,2015
165,153,11614,0,21,0,5204,0,2014
166,62,14788,0,22,0,4413,0,2013
167,197,4089,1,99,0,2703,0,2014
168,404,4818,0,21,0,6209,0,2016
169,101,10181,2,99,0,6260,0,2018
170,15,7023,0,22,0,4111,0,2014
171,233,6367,1,99,0,3601,0,2014
172,254,13976,2,99,0,6271,0,2013
173,601,7159,0,22,0,5557,0,2014
174,211,9314,1,99,0,4101,0,2013
175,9,10348,0,22,0,2906,0,2014
176,402,14023,0,22,0,4802,0,2014
177,19,14603,1,99,0,4998,0,2014
178,500,14775,0,21,0,5303,0,2016
179,22,12291,1,99,0,4221,0,2015
180,248,4997,2,99,0,6271,0,2014
181,67,1983,0,40,0,5318,0,2017
182,193,8961,0,22,0,6408,0,2014
183,217,3297,0,22,0,5501,0,2015
184,143,10358,0,22,0,5333,0,2014
185,217,2273,1,99,0,4204,0,2013
186,34,6066,0,22,0,4809,0,2015
187,34,1457,0,23,0,4203,0,2016
188,500,11060,0,21,0,3405,0,2014
189,401,12378,1,99,0,4221,0,2014
190,51,1857,0,21,0,5314,0,2015
191,35,10915,0,22,0,4804,0,2014
192,700,6034,0,22,0,5318,0,2017
193,411,7118,0,22,0,4207,0,2014
194,500,10742,0,22,0,3910,0,2014
195,237,5629,0,22,0,5204,0,2015
196,61,15137,0,22,0,5403,0,2014
197,246,12444,2,99,0,6303,0,2013
198,156,13950,2,99,0,6273,0,2017
199,33,6630,0,22,0,4211,0,2013
200,700,14506,0,21,0,5304,0,2014
201,700,14386,0,22,0,6217,0,2013
202,197,4029,0,22,0,3911,0,2014
203,45,7434,0,22,0,3304,0,2016
204,195,815,0,22,0,4221,0,2015
205,137,14950,0,22,0,4101,0,2014
206,195,9841,0,22,0,5406,0,2015
207,193,147,1,99,0,4409,0,2014
208,44,8037,0,22,0,5407,0,2013
209,402,9749,0,21,0,4204,0,2013
210,252,2706,1,99,0,4804,0,2015
211,71,14516,1,99,0,4221,0,2017
212,500,3206,0,21,0,5501,0,2016
213,136,12820,1,99,0,4204,0,2013
214,43,7847,1,99,0,2303,0,2016
215,182,15108,1,99,0,4204,0,2016
216,410,7784,2,99,0,6301,0,2015
217,255,14823,0,22,0,4401,0,2016
218,198,6231,0,22,0,3301,0,2013
219,52,13968,2,99,0,6306,0,2013
220,151,2969,0,22,0,5303,0,2014
221,122,779,1,99,0,4205,0,2015
222,15,14,0,22,0,5333,0,2014
223,403,14500,0,22,0,4401,0,2014
224,69,14847,0,21,0,4406,0,2015
225,125,1855,1,99,0,4204,0,2014
226,161,15384,1,99,1,2801,0,2014
227,42,3139,0,22,0,3602,0,2013
228,156,10155,1,99,0,4210,0,2015
229,402,7268,0,22,0,4211,0,2015
230,303,9430,1,99,0,4417,0,2015
231,61,7332,0,22,0,5318,0,2017
232,172,2742,2,99,0,6270,0,2014
233,175,2302,1,99,0,3909,0,2013
234,32,10307,0,22,0,4203,0,2013
235,500,3014,0,22,0,3502,0,2014
236,161,6376,2,99,0,6272,0,2015
237,46,5987,1,99,0,4101,0,2013
238,252,5783,0,22,0,4403,0,2016
239,191,11816,1,99,0,4202,0,2015
240,193,8282,2,99,0,6275,0,2015
241,41,11582,0,22,0,3910,0,2016
242,244,9880,0,21,0,4405,0,2013
243,137,6692,2,99,0,6306,0,2013
244,43,2090,0,22,0,3910,0,2014
245,134,10111,1,99,0,4204,0,2015
246,156,2529,2,99,0,6307,0,2013
247,134,15244,0,22,0,4221,0,2015
248,222,4851,2,99,0,6306,0,2014
249,61,15156,0,21,0,3501,0,2015
250,246,5188,2,99,0,6306,0,2014
251,412,3970,0,22,0,6105,0,2014
252,500,14369,0,21,0,5751,0,2018
253,195,15012,2,99,0,6302,0,2014
254,500,6699,0,22,0,4201,0,2013
255,92,11749,2,99,0,6306,0,2013
256,154,7213,0,22,0,4802,0,2014
257,69,15386,0,23,0,6312,0,2016
258,248,843,0,22,2,2205,0,2013
259,52,10013,2,99,0,6208,0,2016
260,404,11561,1,99,0,4401,0,2014
261,122,3527,1,99,0,2404,0,2016
262,700,7735,0,21,0,3401,0,2013
263,304,12514,0,22,0,5401,0,2013
264,413,5103,0,22,0,3915,0,2014
265,177,642,1,99,0,4706,0,2016
266,92,6289,1,99,0,4221,0,2016
267,401,11376,0,23,0,6102,0,2013
268,500,100,0,21,0,5203,0,2014
269,241,4989,0,22,0,3702,0,2014
270,249,8030,2,99,0,6271,0,2014
271,43,12347,2,99,0,6272,0,2013
272,411,12872,1,99,0,4417,0,2014
273,255,2713,1,99,0,4409,0,2014
274,153,1294,0,23,0,5999,0,2017
275,19,961,0,22,0,3914,0,2014
276,412,9035,0,22,0,6310,2,2014
277,114,2892,0,21,0,4405,0,2013
278,232,10882,1,99,0,2201,0,2013
279,21,3827,0,22,0,5751,0,2014
280,232,4099,0,21,0,5404,0,2013
281,252,7705,0,22,0,6414,0,2014
282,21,6960,0,23,0,4203,0,2013
283,85,5441,2,99,0,6277,0,2014
284,196,5956,1,99,0,2301,0,2014
285,33,10520,1,99,0,4410,0,2015
286,182,5542,2,99,0,6412,0,2016
287,197,12218,2,99,0,6276,0,2013
288,35,11844,1,99,1,4101,0,2013
289,92,12251,1,99,0,4204,0,2017
290,406,4410,2,99,0,6272,0,2015
291,404,6867,0,22,0,2203,0,2013
292,85,3420,1,99,0,4221,0,2013
293,257,3366,0,22,0,2913,0,2013
294,301,1957,0,22,0,5604,0,2013
295,67,9683,0,21,0,5651,0,2014
296,52,4689,2,99,0,6262,0,2017
297,500,20,0,21,0,5313,0,2015
298,93,10495,1,99,0,4101,0,2013
299,125,6163,2,99,0,6271,0,2015
300,601,43,2,99,0,6270,0,2013
301,156,5726,2,99,0,6270,0,2014
302,181,1507,1,99,0,4221,0,2014
303,181,1260,2,99,0,6306,0,2015
304,500,12281,0,21,0,3912,0,2013
305,113,575,2,99,0,6306,0,2014
306,74,7633,1,99,1,4403,0,2018
307,246,12088,2,99,0,6307,0,2015
308,113,12411,1,99,0,2601,0,2014
309,161,600,1,99,1,2601,0,2013
310,248,10540,1,99,0,4204,0,2013
311,21,1759,0,23,0,4822,0,2016
312,401,81,2,99,0,6301,0,2015
313,62,1895,0,22,0,6301,0,2015
314,52,13978,1,99,0,4203,0,2016
315,248,15250,0,22,0,3910,0,2014
316,141,9359,1,99,0,4101,0,2013
317,182,13496,1,99,0,4221,0,2017
318,239,11896,1,99,0,5201,0,2014
319,246,9601,0,22,0,3910,0,2014
320,251,4197,2,99,1,6270,0,2013
321,193,5939,2,99,0,6279,0,2015
322,47,13634,1,99,0,4806,0,2014
323,45,1479,0,22,0,5604,0,2014
324,247,1627,0,21,0,5651,0,2017
325,72,5169,2,99,0,6260,0,2015
326,601,9464,0,22,1,5812,0,2014
327,214,11333,0,23,0,2405,0,2016
328,239,7998,1,99,0,4204,0,2014
329,34,7385,2,99,0,6260,0,2013
330,53,13283,0,22,0,4402,0,2014
331,177,5599,1,99,0,2602,0,2017
332,402,7216,0,22,0,6401,0,2014
333,223,2601,2,99,0,6308,0,2015
334,69,15386,0,23,0,6312,0,2017
335,197,9196,0,22,0,5103,0,2015
336,181,6794,1,99,0,2602,0,2015
337,402,516,0,21,0,4404,0,2014
338,246,7158,2,99,0,6211,0,2013
339,500,10619,0,21,0,5304,0,2015
340,246,2477,0,22,0,5651,0,2014
341,64,2346,2,99,0,6279,0,2015
342,134,2918,1,99,0,3601,0,2013
343,252,4189,0,21,0,4405,0,2016
344,406,13392,0,22,0,6401,2,2015
345,255,12979,0,22,0,5202,0,2013
346,409,8918,0,23,0,4221,0,2013
347,211,8046,1,99,0,4204,0,2016
348,252,6165,0,21,0,4404,0,2013
349,211,1676,0,22,0,3601,0,2015
350,221,5533,0,22,0,5401,0,2015
351,195,7910,0,22,0,5406,0,2016
352,193,11560,0,22,0,3912,0,2014
353,601,13051,0,22,0,4613,0,2013
354,21,14393,0,22,0,5811,0,2016
355,124,3864,1,99,0,4204,0,2016
356,44,4759,2,99,0,6306,0,2014
357,238,13921,1,99,0,3801,0,2015
358,408,8404,0,22,0,5404,0,2014
359,258,4265,1,99,0,2502,0,2016
360,85,7154,0,22,0,4216,0,2017
361,245,1157,0,22,1,5401,0,2015
362,33,13093,1,99,0,5309,0,2014
363,181,3341,1,99,0,2504,0,2016
364,16,2064,0,22,0,4809,0,2017
365,251,8574,0,21,0,3501,0,2018
366,16,574,1,99,0,2207,0,2014
367,101,5276,1,99,0,4204,0,2014
368,253,1942,1,99,0,4203,0,2017
369,125,3505,1,99,0,4413,0,2016
370,245,5592,0,22,0,3910,0,2017
371,37,4152,0,22,0,5703,0,2014
372,601,12623,0,23,0,4203,0,2015
373,256,6158,0,21,0,5306,0,2014
374,74,5186,2,99,2,6306,0,2016
375,61,13135,0,21,0,3912,0,2013
376,53,6131,1,99,1,4204,0,2015
377,44,5571,0,23,0,4221,0,2017
378,196,4430,0,21,0,5321,0,2013
379,33,674,2,99,0,6271,0,2015
380,211,4836,2,99,0,6308,0,2013
381,211,13846,0,22,0,3601,0,2014
382,411,12107,0,22,0,4217,0,2014
383,153,3019,2,99,0,6277,0,2013
384,404,3639,0,22,0,4218,2,2014
385,407,7335,0,22,0,5710,0,2017
386,402,7943,0,21,0,4404,0,2016
387,43,4161,2,99,0,6312,0,2013
388,408,12510,0,22,0,4204,0,2016
389,303,2699,2,99,0,6260,0,2015
390,19,7751,1,99,0,4307,0,2014
391,111,14179,2,99,0,6999,0,2013
392,92,11822,0,40,0,4105,0,2014
393,601,9797,0,22,0,6311,0,2015
394,125,3094,0,22,0,4204,0,2015
395,156,3875,2,99,0,6275,0,2016
396,255,7323,0,22,0,5201,0,2016
397,35,7970,2,99,0,6306,0,2014
398,410,10246,1,99,0,4204,0,2015
399,211,692,2,99,0,6270,0,2014
400,182,4217,1,99,0,4204,0,2016
401,44,10503,0,23,1,3702,0,2013
402,232,9664,1,99,0,3203,0,2015
403,103,12968,0,21,0,5320,0,2013
404,156,15112,2,99,0,6279,0,2017
405,182,8664,1,99,0,4221,0,2015
406,198,7086,0,23,0,4804,0,2015
407,242,8584,0,22,0,5904,0,2015
408,700,14856,0,22,0,4602,0,2013
409,201,11766,1,99,0,5651,0,2016
410,404,3513,0,22,0,4215,0,2013
411,101,157,1,99,0,4204,0,2015
412,247,1937,1,99,0,5309,0,2016
413,69,4685,0,22,0,4204,2,2013
414,9,13522,1,99,0,4829,0,2018
415,247,7200,0,22,0,5333,0,2014
416,193,11810,1,99,0,4204,0,2013
417,246,3529,2,99,0,6280,0,2017
418,69,13351,0,22,0,6211,0,2013
419,61,13650,0,22,0,5714,0,2013
420,48,7819,0,22,0,5551,0,2013
421,13,1823,0,23,0,2506,0,2015
422,252,8143,0,21,0,4405,0,2015
423,72,13376,0,22,0,4204,0,2018
424,411,14085,0,22,0,4401,0,2015
425,234,12309,1,99,0,4409,0,2013
426,62,1422,0,23,0,6105,0,2016
427,198,1885,0,22,0,5313,0,2018
428,211,9558,0,22,0,5506,0,2014
429,141,4735,0,22,0,5306,0,2016
430,234,13934,1,99,0,2201,0,2013
431,113,10454,1,99,0,4204,0,2015
432,223,9957,1,99,0,5207,0,2014
433,45,7219,0,22,0,3912,0,2014
434,700,10659,0,22,0,3912,0,2016
435,242,6845,0,23,0,4101,0,2014
436,22,8279,2,99,0,6404,0,2013
437,255,10799,0,22,0,2201,0,2013
438,172,11941,2,99,0,6102,0,2013
439,404,11010,0,22,0,4218,0,2014
440,223,2601,2,99,0,6308,0,2016
441,222,10553,2,99,0,6307,0,2015
442,500,233,0,21,0,5610,0,2016
443,411,9712,2,99,0,6307,0,2015
444,112,14860,1,99,0,4204,0,2016
445,700,9337,0,22,0,3910,0,2015
446,401,2397,2,99,0,6271,0,2015
447,15,74,0,22,0,3502,0,2013
448,81,11791,0,22,0,5103,0,2013
449,401,2801,0,21,0,6305,0,2014
450,21,13390,0,22,0,5714,0,2013
451,113,4932,0,22,0,4209,0,2014
452,141,13406,0,23,0,6312,0,2015
453,247,14332,1,99,0,5333,0,2013
454,700,12738,0,22,0,3505,0,2014
455,243,9939,1,99,0,2906,0,2017
456,197,13058,2,99,0,6272,0,2014
457,161,5718,0,23,0,4101,0,2013
458,113,5609,2,99,0,6307,0,2014
459,15,5211,2,99,0,6306,0,2014
460,155,6312,1,99,0,4226,0,2013
461,137,11532,0,22,0,4204,0,2015
462,500,4136,0,21,0,3910,0,2015
463,151,15417,2,99,0,6218,0,2015
464,500,4529,0,22,0,3604,0,2014
465,63,14421,1,99,0,4409,0,2014
466,172,13254,0,22,0,3201,0,2016
467,197,10083,0,22,0,2203,0,2015
468,412,9626,0,22,0,3910,2,2014
469,413,3461,0,23,0,3601,0,2013
470,55,12342,1,99,1,4221,0,2015
471,175,8277,0,22,0,4204,0,2017
472,71,5605,1,99,0,4221,0,2018
473,254,9579,2,99,0,6211,0,2017
474,16,9714,0,22,0,4402,0,2016
475,193,9883,0,22,0,4410,0,2013
476,141,1327,0,23,0,4204,0,2013
477,409,9710,1,99,0,5404,0,2014
478,254,10707,0,22,0,5613,0,2014
479,63,12425,2,99,0,6308,0,2013
480,52,14397,1,99,0,4204,0,2013
481,62,14278,0,22,0,4204,2,2013
482,113,4436,1,99,0,2701,0,2013
483,46,9142,2,99,0,6312,0,2013
484,211,9493,0,22,0,3910,0,2016
485,195,8962,0,22,0,3303,0,2017
486,151,489,1,99,0,4204,0,2014
487,182,3073,0,22,0,4101,0,2014
488,154,10434,2,99,0,6412,0,2014
489,500,6248,0,22,0,3912,0,2015
490,122,1170,2,99,0,6306,0,2013
491,192,1214,0,21,0,5501,0,2016
492,172,302,1,99,0,4221,0,2013
493,122,4654,2,99,0,6287,0,2015
494,74,7302,1,99,0,2922,0,2013
495,101,12966,1,99,0,4221,0,2014
496,182,9106,0,22,0,4413,0,2013
497,32,6470,2,99,0,6102,0,2013
498,161,15462,1,99,0,4221,0,2016
499,255,2367,2,99,0,6307,0,2013
500,181,9349,0,13,0,4208,0,2015
501,41,14766,2,99,0,6260,0,2014
502,125,11537,1,99,0,2405,0,2015
503,154,2503,0,22,0,4414,0,2013
504,242,4014,1,99,1,2404,0,2014
505,254,1061,2,99,0,6307,0,2013
506,137,14225,0,22,0,4410,0,2017
507,500,9900,0,22,0,5401,0,2013
508,222,11777,2,99,0,6276,0,2015
509,16,10717,2,99,0,6270,0,2013
510,156,10918,0,22,0,4203,0,2015
511,74,12065,1,99,0,4806,0,2013
512,193,12775,1,99,0,4403,0,2015
513,410,10725,0,22,0,4418,0,2015
514,41,9192,0,22,0,4204,0,2015
515,238,6529,2,99,0,6271,0,2013
516,76,11035,1,99,0,4101,0,2015
517,172,4190,0,22,0,5703,0,2015
518,195,13824,1,99,0,3603,0,2018
519,102,3679,1,99,0,4204,0,2014
520,246,11729,0,22,0,5755,0,2013
521,16,13731,2,99,0,6312,0,2014
522,251,1224,0,22,0,2907,0,2013
523,241,5097,0,23,0,5811,0,2014
524,257,12846,0,23,0,4204,0,2015
525,242,7229,0,14,1,4221,0,2015
526,412,6561,0,22,0,3506,0,2013
527,175,7548,1,99,0,4212,0,2017
528,32,229,0,22,0,2601,0,2015
529,198,8546,0,22,0,5703,0,2013
530,92,10491,1,99,0,4204,0,2014
531,172,6601,0,22,0,6105,0,2014
532,253,5475,1,99,0,5309,0,2015
533,500,4887,0,23,0,3502,0,2016
534,197,3010,0,22,0,5553,0,2013
535,243,7876,1,99,0,4204,0,2013
536,153,2743,2,99,0,6102,0,2016
537,122,11106,0,22,0,3405,0,2015
538,197,10848,0,22,0,3999,0,2014
539,134,10842,0,21,0,6403,0,2015
540,156,7014,0,22,1,5751,0,2016
541,403,15439,0,21,0,5557,0,2017
542,111,11468,0,22,0,3704,0,2017
543,113,7498,1,99,0,4204,0,2014
544,246,8054,1,99,0,2502,0,2015
545,700,9754,0,21,0,4101,0,2013
546,409,9708,0,22,0,5404,0,2013
547,61,2845,2,99,0,6306,0,2015
548,700,7371,0,21,0,4229,0,2015
549,700,3988,0,21,0,4405,0,2013
550,197,195,1,99,0,2404,0,2015
551,33,15327,1,99,0,4204,0,2015
552,15,8523,0,10,0,4222,0,2014
553,234,3682,2,99,0,6270,0,2015
554,233,4153,0,22,0,4204,0,2016
555,402,5882,0,21,0,4216,0,2015
556,156,7114,0,22,0,6406,0,2015
557,137,4561,2,99,0,6306,0,2014
558,197,1821,0,22,0,4205,0,2017
559,34,7104,2,99,0,6270,0,2013
560,258,12999,0,21,0,6209,0,2013
561,122,8302,1,99,0,4204,0,2016
562,253,14525,2,99,0,6272,0,2016
563,64,4447,2,99,1,6999,0,2013
564,69,11221,0,22,0,3704,0,2014
565,500,5931,0,22,0,4204,0,2016
566,500,11823,0,22,0,3601,0,2014
567,700,8328,0,22,0,6105,0,2014
568,406,13685,0,22,0,3301,0,2014
569,256,10625,2,99,0,6306,0,2015
570,196,4430,0,21,0,5321,0,2017
571,255,461,2,99,0,6306,0,2013
572,32,11977,0,22,0,4204,0,2013
573,193,756,2,99,0,6104,0,2015
574,217,5089,0,21,0,5333,0,2014
575,9,4540,1,99,0,4409,0,2014
576,133,4287,1,99,0,4204,0,2013
577,193,9121,0,22,0,4204,0,2016
578,21,6383,1,99,0,4204,0,2014
579,401,14998,0,22,0,5401,0,2013
580,412,11287,0,22,0,3506,0,2015
581,500,11792,0,21,0,4405,0,2015
582,401,8579,2,99,0,6102,0,2017
583,273,5918,1,99,1,3998,0,2016
584,181,12880,2,99,0,6271,0,2016
585,113,4932,0,22,0,4209,0,2016
586,173,371,1,99,0,4605,0,2014
587,401,5175,2,99,0,6260,0,2013
588,76,4330,1,99,0,1014,0,2017
589,221,9963,1,99,0,2913,0,2016
590,153,13352,1,99,0,4204,0,2013
591,154,11411,1,99,0,4418,0,2015
592,74,10194,2,99,0,6102,0,2014
593,233,14867,2,99,0,6272,0,2014
594,197,2321,0,22,0,4221,0,2013
595,153,1488,0,22,0,4101,0,2014
596,153,4874,1,99,0,4204,0,2017
597,102,14940,1,99,0,4607,0,2013
598,412,14050,2,99,0,6287,0,2016
599,122,8798,2,99,0,6102,0,2013
600,16,13729,2,99,0,6208,0,2015
601,113,2614,2,99,0,6306,0,2015
602,133,7060,2,99,0,6409,0,2016
603,44,744,0,23,0,4212,0,2016
604,700,12785,0,21,0,3504,0,2016
605,197,7967,0,22,0,2502,0,2016
606,221,6052,1,99,0,6102,0,2013
607,71,3768,0,22,0,5404,0,2017
608,198,4666,0,22,0,1012,0,2014
609,9,11681,1,99,0,5404,0,2015
610,74,11055,1,99,0,4101,0,2014
611,175,13600,1,99,0,4221,0,2014
612,102,14066,1,99,0,4204,0,2013
613,15,10136,1,99,0,4550,0,2015
614,46,8732,1,99,0,4605,0,2013
615,173,11153,0,22,0,3704,0,2015
616,196,5059,1,99,0,5510,0,2013
617,413,7273,0,22,0,4204,0,2015
618,197,10572,2,99,0,6287,0,2014
619,37,9971,0,21,0,5804,0,2014
620,411,7772,2,99,0,6208,0,2013
621,245,11448,2,99,1,6260,0,2016
622,125,15361,0,22,0,4204,0,2014
623,402,15139,0,22,0,3912,0,2013
624,134,9378,0,21,0,4101,0,2016
625,211,8046,1,99,0,4204,0,2015
626,258,5694,1,99,0,4221,0,2015
627,51,561,2,99,0,6260,0,2015
628,411,14791,2,99,0,6410,0,2015
629,193,5970,0,22,1,5506,0,2014
630,156,7329,0,22,0,4414,0,2013
631,172,3397,0,22,0,5703,0,2013
632,68,9466,0,22,0,3912,0,2015
633,181,9620,1,99,0,4403,0,2014
634,16,2703,2,99,0,6306,0,2013
635,408,3077,0,22,0,6105,0,2016
636,232,1288,2,99,0,6275,0,2016
637,252,7790,0,21,0,4404,0,2014
638,234,13102,0,22,0,6418,0,2013
639,409,4335,1,99,0,4417,0,2016
640,69,7184,0,23,0,6312,2,2013
641,34,15182,0,22,0,6105,0,2013
642,246,7174,0,22,0,3702,0,2018
643,197,12727,2,99,0,6287,0,2013
644,156,10212,2,99,0,6270,0,2016
645,62,10169,0,22,0,3304,0,2014
646,413,6486,1,99,0,5404,0,2015
647,111,8350,0,21,0,4402,0,2015
648,68,13132,0,22,0,3910,0,2014
649,226,5653,0,23,0,3409,0,2015
650,137,11054,2,99,0,6307,0,2013
651,223,11209,0,22,0,5714,0,2018
652,196,9834,0,22,0,4213,0,2013
653,22,5351,0,21,0,5304,0,2013
654,153,8256,2,99,0,6102,0,2014
655,91,7961,1,99,0,2404,0,2014
656,222,13145,2,99,0,6283,0,2017
657,19,6399,0,22,0,4218,2,2016
658,156,12844,2,99,0,6306,0,2013
659,253,2763,0,22,0,5303,0,2014
