,SND_MNTPRD_I,SND_MNTTVA_I,SND_MNTDRC_I,SND_MNTTAX_I,SND_MNTPAY_I,SND_MNTAIR_I
324,1818672038.0,343729010.0,0.0,103973468.0,447702478.0,0.0
335,39379791.0,7159245.0,0.0,620387.0,7779632.0,0.0
340,1095826.0,199221.0,0.0,20958.0,220179.0,0.0
345,5409961552.0,678591544.0,0.0,20819138.0,699410682.0,0.0
348,71213267.0,16183214.0,0.0,1218992.0,17402206.0,0.0
351,454086829.0,97412867.0,0.0,92631079.0,190043946.0,0.0
352,1878980573.0,481920966.0,0.0,405797947.0,887718913.0,407280658.0
354,135890234.0,680407.0,0.0,956133.0,1636540.0,0.0
357,7207647611.0,1310827302.0,0.0,116292981.0,1427120283.0,0.0
358,754327.0,45259.0,0.0,10000.0,55259.0,0.0
361,31184.0,0.0,0.0,10000.0,10000.0,0.0
371,194815051.0,35069173.0,0.0,1068299.0,36137472.0,0.0
373,28329341.0,5130096.0,0.0,354897.0,5484993.0,0.0
378,222912626.0,40691335.0,240.0,4359663.0,45051238.0,0.0
396,34715856.0,6248854.0,0.0,197309.0,6446163.0,0.0
402,111788885.0,22134197.0,0.0,12178276.0,34312473.0,0.0
403,860029737.0,160255988.0,0.0,45953460.0,206209448.0,2501320.0
408,15178440.0,3233069.0,0.0,1088554.0,4321623.0,1061697.0
409,246619679.0,45907248.0,0.0,10050435.0,55957683.0,0.0
422,22500000.0,1431000.0,0.0,1433430.0,2864430.0,0.0
427,6275942.0,1204353.0,0.0,100772.0,1305125.0,0.0
429,15000000.0,0.0,0.0,10000.0,10000.0,0.0
430,71764422.0,18844529.0,0.0,13986583.0,32831112.0,14379648.0
433,65745714.0,10671496.0,0.0,7037254.0,17708750.0,11139464.0
434,6587241278.0,1194977021.0,0.0,88914945.0,1283891966.0,156255772.0
442,23273297644.0,1559894124.0,9700200.0,187177243.0,1756771567.0,107423269.0
447,1476153233.0,319582321.0,0.0,58732911.0,378315232.0,398266.0
450,1751587839.0,0.0,0.0,830000.0,830000.0,0.0
454,1585974117.0,130075885.0,0.0,18008393.0,148084278.0,0.0
464,9324509135.0,1693766992.0,0.0,146315018.0,1840082010.0,15271140.0
467,180981868.0,32902500.0,0.0,2860943.0,35763443.0,0.0
478,248860856.0,2710567.0,0.0,171317.0,2881884.0,0.0
485,764020705.0,160433816.0,0.0,136138595.0,296572411.0,293846318.0
489,19533438030.0,3596832542.0,0.0,570339179.0,4167171721.0,0.0
491,436708950.0,78834315.0,0.0,7412840.0,86247155.0,93394930.0
504,107460221.0,20509205.0,1106820.0,6182675.0,27798700.0,0.0
507,4639243186.0,17903776.0,0.0,7194371.0,25098147.0,0.0
518,41944278.0,10439930.0,0.0,13706004.0,24145934.0,0.0
520,1069581738.0,172129166.0,0.0,22131246.0,194260412.0,8303460.0
523,227192848.0,0.0,0.0,440000.0,440000.0,0.0
526,224814855.0,38625036.0,0.0,1204541.0,39829577.0,0.0
528,1664980506.0,323965876.0,118004203.0,30590006.0,472560085.0,418039570.0
529,1970127027.0,351348110.0,6481.0,12461576.0,363816167.0,0.0
533,239009906.0,43257932.0,0.0,12592322.0,55850254.0,17461416.0
537,348396390.0,81036624.0,2842.0,108697596.0,189737062.0,574000.0
538,14556761115.0,0.0,0.0,299869273.0,299869273.0,0.0
540,100917471.0,11724330.0,0.0,351729.0,12076059.0,0.0
546,181249795.0,40732526.0,0.0,6911467.0,47643993.0,0.0
549,525502641.0,135579609.0,1522810.0,126804408.0,263906827.0,113378015.0
550,466664789.0,80529342.0,25643.0,37625636.0,118180621.0,0.0
560,335523915.0,0.0,0.0,1800244.0,1800244.0,0.0
565,176326546.0,32081836.0,0.0,2925527.0,35007363.0,1322931.0
566,28909644842.0,5211197445.0,30185005.0,168057054.0,5409439504.0,94210146.0
567,46126434.0,5746767.0,0.0,7287613.0,13034380.0,2491397.0
568,2790876861.0,135987727.0,314073.0,64842437.0,201144237.0,131017972.0
570,248797132.0,48996030.0,0.0,25575053.0,74571083.0,0.0
580,1393813660.0,222688681.0,0.0,154817340.0,377506021.0,174258.0
581,1371160575.0,83282148.0,0.0,16819303.0,100101451.0,0.0
591,93000000.0,5635800.0,0.0,1126974.0,6762774.0,9976277.0
600,76856524.0,5870573.0,0.0,1360296.0,7230869.0,276836.0
604,6292707109.0,1071539323.0,0.0,116348383.0,1187887706.0,0.0
605,957904380.0,165578227.0,0.0,37504745.0,203082972.0,23139468.0
607,3227240.0,0.0,0.0,10000.0,10000.0,0.0
619,3009932491.0,526435775.0,0.0,86041611.0,612477386.0,36491124.0
623,643041338.0,146060690.0,0.0,12667252.0,158727942.0,104399616.0
632,73846566.0,14516815.0,0.0,1206949.0,15723764.0,0.0
642,23831158.0,5320999.0,0.0,6681999.0,12002998.0,4825846.0
652,56586468.0,8687372.0,0.0,843457.0,9530829.0,0.0
653,150053802.0,23282703.0,0.0,1297607.0,24580310.0,21385836.0
659,173359987.0,43062613.0,0.0,69144959.0,112207572.0,0.0
661,276733449.0,52025033.0,0.0,26266422.0,78291455.0,0.0
663,668237967.0,0.0,0.0,68757082.0,68757082.0,0.0
664,94105814.0,16940167.0,0.0,521039.0,17461206.0,0.0
667,19346344673.0,3491335050.0,0.0,170042022.0,3661377072.0,0.0
670,3776112643.0,666182271.0,2340.0,365917675.0,1032102286.0,741904037.0
671,1926839039.0,138724493.0,30.0,24200420.0,162924943.0,509643.0
686,51251617.0,9317543.0,0.0,807417.0,10124960.0,0.0
690,8182408419.0,1543317007.0,24332234.0,231471477.0,1799120718.0,66198443.0
711,3144048.0,743863.0,0.0,772209.0,1516072.0,0.0
714,5163268338.0,1136283224.0,291118736.0,148594304.0,1575996264.0,610769518.0
729,25960910114.0,4759367080.0,493046.0,330299346.0,5090159472.0,19023019.0
732,1752404870.0,331204514.0,0.0,100184976.0,431389490.0,0.0
733,7472749420.0,1573005514.0,51158.0,1380782868.0,2953839540.0,266746886.0
736,3686550.0,683482.0,0.0,143074.0,826556.0,0.0
737,12348646383.0,1636819522.0,0.0,54765812.0,1691585334.0,6279894.0
738,611602885.0,110171177.0,8040.0,3865891.0,114045108.0,0.0
745,657366090.0,125299113.0,0.0,39438836.0,164737949.0,5085428.0
746,498992280.0,0.0,0.0,530000.0,530000.0,0.0
755,3071740400.0,581669944.0,0.0,140867843.0,722537787.0,266777742.0
756,229847393.0,43295476.0,0.0,7141912.0,50437388.0,844547.0
774,109035771121.0,13232707526.0,0.0,13455816357.0,26688523883.0,10042532472.0
782,1042419165.0,109086820.0,0.0,11464813.0,120551633.0,356891.0
786,1809840.0,408424.0,0.0,25384.0,433808.0,448728.0
788,823878585.0,146303014.0,0.0,5598970.0,151901984.0,0.0
800,311336210.0,78876513.0,0.0,75132610.0,154009123.0,74447487.0
813,28704385.0,5896277.0,0.0,4447214.0,10343491.0,303640.0
815,751101539.0,163291509.0,0.0,165871404.0,329162913.0,1939526200.0
820,18045790.0,5318996.0,0.0,5921589.0,11240585.0,0.0
834,9798814262.0,2797427689.0,0.0,2804926380.0,5602354069.0,23728039767.0
837,98388410.0,19480901.0,0.0,10718424.0,30199325.0,0.0
839,1216843770.0,230939127.0,0.0,75111049.0,306050176.0,332515297.0
842,123575697.0,28082576.0,0.0,2115305.0,30197881.0,15377357.0
848,349747089.0,42056254.0,0.0,2005038.0,44061292.0,0.0
853,111199381.0,21087144.0,28525.0,3358025.0,24473694.0,0.0
857,12551300.0,0.0,0.0,30000.0,30000.0,0.0
862,228534192.0,0.0,0.0,280000.0,280000.0,0.0
867,102228822.0,0.0,0.0,60000.0,60000.0,0.0
872,212706675.0,25524801.0,0.0,765744.0,26290545.0,0.0
873,1603679622.0,293303436.0,0.0,88421005.0,381724441.0,0.0
874,1488197.0,271120.0,0.0,158640.0,429760.0,0.0
877,34773069.0,4915600.0,0.0,782524.0,5698124.0,0.0
883,9327053.0,0.0,0.0,20000.0,20000.0,0.0
887,78783542314.0,14197354891.0,0.0,15780849928.0,29978204819.0,11816306323.0
891,738147485.0,126615568.0,0.0,25482586.0,152098154.0,14421934.0
897,180293661.0,43535851.0,16944339.0,4167036.0,64647226.0,11138856.0
899,148443096.0,0.0,0.0,340000.0,340000.0,0.0
901,84936360.0,16957821.0,0.0,2219680.0,19177501.0,12900767.0
903,84358882.0,5074468.0,0.0,374297.0,5448765.0,0.0
913,15362302695.0,3014698086.0,0.0,888053196.0,3902751282.0,0.0
914,3616210685.0,499743630.0,0.0,40678816.0,540422446.0,306019.0
921,1346011473.0,114076723.0,15261926.0,22074762.0,151413411.0,11628994.0
924,51695443.0,10759395.0,0.0,5721838.0,16481233.0,0.0
930,11741443.0,1962125.0,0.0,1162859.0,3124984.0,1215933.0
931,414248365.0,74021181.0,0.0,10327152.0,84348333.0,0.0
935,1350355397.0,186736388.0,116.0,57729272.0,244465776.0,1212158.0
937,27922032145.0,5832600.0,0.0,11544278.0,17376878.0,19918942.0
943,11655102715.0,1726337.0,0.0,1022194.0,2748531.0,2019344.0
945,235401392.0,31989799.0,0.0,2820517.0,34810316.0,0.0
950,320038316.0,0.0,0.0,560000.0,560000.0,0.0
953,47519586638.0,10360824143.0,6792632422.0,3089017297.0,20242473862.0,153038903.0
954,151032241.0,20587231.0,0.0,1532091.0,22119322.0,0.0
956,81016227.0,4860972.0,0.0,145828.0,5006800.0,0.0
957,2283885418.0,192060420.0,0.0,21125243.0,213185663.0,122576.0
959,1805398027.0,237538528.0,180.0,53825631.0,291364339.0,0.0
964,211010620.0,49236864.0,0.0,65880458.0,115117322.0,31509315.0
973,6157844360.0,1240158451.0,214731389.0,238587981.0,1693477821.0,5388892.0
975,7171523390.0,1338865639.0,1292230.0,379464842.0,1719622711.0,58310556.0
978,783377709.0,114879489.0,11506.0,7257871.0,122148866.0,268408.0
990,1370189687.0,244142011.0,0.0,7504525.0,251646536.0,0.0
994,278658205.0,88278918.0,111463281.0,109318726.0,309060925.0,0.0
995,7293265247.0,1093091633.0,114388.0,326009164.0,1419215185.0,101024148.0
1001,198102478.0,45742678.0,64400.0,8455312.0,54262390.0,42710412.0
1004,102184666.0,25014799.0,0.0,38645985.0,63660784.0,0.0
1006,31664170.0,5756545.0,0.0,498835.0,6255380.0,0.0
1007,9281936.0,2109319.0,0.0,158883.0,2268202.0,0.0
1010,3937647.0,0.0,0.0,59375.0,59375.0,0.0
1011,838970152.0,127820664.0,0.0,11559381.0,139380045.0,7152390.0
1022,52596286.0,9562003.0,0.0,828600.0,10390603.0,0.0
1025,247600236.0,44970420.0,0.0,3223100.0,48193520.0,0.0
1029,1200657834.0,217401517.0,0.0,14042836.0,231444353.0,364800642.0
1040,197427585.0,42707074.0,0.0,19604937.0,62312011.0,16648990.0
1045,876573184.0,0.0,0.0,2880000.0,2880000.0,0.0
1051,97776189.0,5925237.0,0.0,1184850.0,7110087.0,0.0
1059,36686400.0,8498952.0,0.0,11102302.0,19601254.0,0.0
1069,2525977208.0,511481501.0,25414290.0,315094882.0,851990673.0,656082206.0
1074,18699624.0,3399588.0,0.0,338786.0,3738374.0,7897387.0
1079,20183632194.0,4340711559.0,0.0,4179642552.0,8520354111.0,12127826075.0
1082,2449810684.0,473653099.0,0.0,144401077.0,618054176.0,41779351.0
1087,139927716.0,26497848.0,0.0,6531422.0,33029270.0,0.0
1091,330677314.0,0.0,0.0,400000.0,400000.0,0.0
1101,2240808702.0,398481739.0,0.0,33093352.0,431575091.0,0.0
1105,147414764.0,11012663.0,0.0,342177.0,11354840.0,0.0
1109,24092896.0,5504790.0,0.0,6849094.0,12353884.0,3270121.0
1117,43230614134.0,9180033211.0,5862695301.0,1789025342.0,16831753854.0,135812035.0
1123,13999695.0,618858.0,0.0,372392.0,991250.0,0.0
1125,102710915.0,16877751.0,0.0,4537112.0,21414863.0,13509230.0
1126,1066814354.0,231409214.0,0.0,232426494.0,463835708.0,219384337.0
1127,25563218.0,4633776.0,0.0,331113.0,4964889.0,0.0
1132,7774382244.0,568381846.0,60.0,34427667.0,602809573.0,0.0
1160,27977408.0,5192064.0,0.0,1049905.0,6241969.0,0.0
1175,42801532.0,3177368.0,0.0,384303.0,3561671.0,2094893.0
1179,201426468.0,36256764.0,0.0,1087702.0,37344466.0,0.0
1199,1319585942.0,238384489.0,0.0,32598234.0,270982723.0,0.0
1207,3822369877.0,388737686.0,169.0,40520456.0,429258311.0,3722298.0
1220,1138164476.0,215748669.0,0.0,71215818.0,286964487.0,0.0
1221,390451152.0,101086195.0,0.0,98608637.0,199694832.0,480884428.0
1224,509631246.0,33944294.0,10980.0,1453615.0,35408889.0,0.0
1225,3101886120.0,0.0,0.0,4285000.0,4285000.0,0.0
1233,722456533.0,136381240.0,0.0,40238207.0,176619447.0,0.0
1238,110029600.0,22040154.0,0.0,2109016.0,24149170.0,15942731.0
1251,4001728.0,807577.0,0.0,341515.0,1149092.0,0.0
1268,120968582.0,7258114.0,0.0,217743.0,7475857.0,0.0
1270,55161373.0,9982067.0,0.0,602863.0,10584930.0,0.0
1293,685591978.0,91128146.0,3449681.0,3071729.0,97649556.0,0.0
1296,2356769428.0,428297337.0,0.0,36189366.0,464486703.0,0.0
1308,400525120.0,104748991.0,0.0,70887918.0,175636909.0,226091110.0
1314,71802895.0,12924521.0,0.0,387735.0,13312256.0,0.0
1316,1989082762.0,354038307.0,0.0,96920763.0,450959070.0,0.0
1322,64533803.0,16736196.0,0.0,16221322.0,32957518.0,26210007.0
1330,79376670.0,0.0,0.0,82766.0,82766.0,0.0
1348,228348439.0,0.0,0.0,260000.0,260000.0,0.0
1356,481447353.0,90740171.0,0.0,42407434.0,133147605.0,6935664.0
1363,15000000.0,0.0,0.0,10000.0,10000.0,0.0
1364,495310494.0,144788181.0,0.0,157376887.0,302165068.0,50237949.0
1369,194167677.0,37308996.0,0.0,14896222.0,52205218.0,167428797.0
1371,26240226.0,0.0,0.0,210000.0,210000.0,0.0
1377,5602057612.0,1019188532.0,0.0,92593331.0,1111781863.0,1585285658.0
1378,82961321.0,17471694.0,0.0,6443145.0,23914839.0,475447.0
1383,180920364.0,42377277.0,52772882.0,4642662.0,99792821.0,0.0
1387,275832197.0,54575420.0,0.0,23308100.0,77883520.0,77230849.0
1390,1272958523.0,229132528.0,0.0,6873970.0,236006498.0,0.0
1403,1880215726.0,121222244.0,0.0,6642047.0,127864291.0,1626818.0
1411,8467409892.0,2064080628.0,0.0,800617787.0,2864698415.0,4269637476.0
1412,681172303.0,131714214.0,0.0,57854680.0,189568894.0,0.0
1418,2400624037.0,456435809.0,13184039.0,139803697.0,609423545.0,1301953967.0
1424,32033105.0,6450828.0,0.0,4112510.0,10563338.0,0.0
1425,1656059231.0,331399380.0,399156.0,188774945.0,520573481.0,11175713.0
1426,121800500.0,0.0,0.0,215005.0,215005.0,0.0
1432,531972417.0,120282631.0,0.0,15263798.0,135546429.0,251111550.0
1434,245344000.0,44161920.0,0.0,1324857.0,45486777.0,0.0
1439,183161059.0,28500276.0,0.0,9518040.0,38018316.0,0.0
1447,587470873.0,120170112.0,0.0,86188646.0,206358758.0,125630316.0
1461,109051506.0,19638945.0,0.0,655916.0,20294861.0,294666.0
1464,335605769.0,59977091.0,4620.0,6240342.0,66222053.0,2089877.0
1465,3023313.0,755072.0,302331.0,62862.0,1120265.0,414357.0
1470,120736291.0,28455840.0,0.0,39325950.0,67781790.0,50829246.0
1473,404058744.0,72730572.0,0.0,2181916.0,74912488.0,0.0
1497,304261644.0,65333387.0,0.0,63139023.0,128472410.0,129403106.0
1500,5061102136.0,924090436.0,2418840.0,103617538.0,1030126814.0,1291614.0
1501,213309841.0,38135373.0,0.0,7480772.0,45616145.0,0.0
1502,5270560910.0,989959730.0,131370.0,163251788.0,1153342888.0,63409900.0
1517,248086291.0,54033193.0,0.0,55282057.0,109315250.0,35740153.0
1520,314019063.0,13748937.0,0.0,9184027.0,22932964.0,170429.0
1525,19972285.0,3769313.0,0.0,151074.0,3920387.0,459038.0
1588,32741530095.0,5904071124.0,0.0,237729534.0,6141800658.0,0.0
1594,27866680.0,3377441.0,0.0,388349.0,3765790.0,0.0
1606,11531703219.0,2707842945.0,580.0,1159531090.0,3867374615.0,203526676.0
1610,1051884397.0,63113063.0,0.0,1893391.0,65006454.0,0.0
1621,9522814.0,2331181.0,0.0,3608107.0,5939288.0,0.0
1632,700156497.0,87574368.0,0.0,15168382.0,102742750.0,0.0
1634,1686698135.0,305966379.0,0.0,26050858.0,332017237.0,0.0
1639,158680637.0,29636859.0,0.0,7040664.0,36677523.0,0.0
1640,1237861990.0,286599867.0,0.0,375741774.0,662341641.0,345215791.0
1641,795999873.0,42380940.0,0.0,2718339.0,45099279.0,46946637.0
1646,423011923.0,82987104.0,34434074.0,7248566.0,124669744.0,60245093.0
1652,75219570.0,11973645.0,0.0,359208.0,12332853.0,0.0
1656,860649332.0,101702015.0,0.0,16731509.0,118433524.0,0.0
1658,5142636305.0,703028139.0,540.0,193099290.0,896127969.0,6762476.0
1668,357340858.0,74621508.0,0.0,61203134.0,135824642.0,0.0
1669,219385482.0,39892406.0,0.0,3520311.0,43412717.0,238393528.0
1674,3241723357.0,401631014.0,0.0,12272389.0,413903403.0,0.0
1675,2447644192.0,386759712.0,84600.0,89712487.0,476556799.0,1360425.0
1680,91479147.0,16808455.0,0.0,2462452.0,19270907.0,52922525.0
1694,385446744.0,122085513.0,0.0,305252882.0,427338395.0,0.0
1704,4513320413.0,978338667.0,138630.0,239511905.0,1217989202.0,977830852.0
1727,7503281159.0,1422760941.0,1205455.0,452476722.0,1876443118.0,18232780.0
1737,21679770342.0,4424850867.0,63600.0,1432363988.0,5857278455.0,1519779249.0
1743,1899389424.0,292304656.0,0.0,18850112.0,311154768.0,0.0
1751,4111995.0,249186.0,0.0,51119.0,300305.0,0.0
1754,26275849126.0,1805593318.0,1636248.0,192749228.0,1999978794.0,32293716.0
1755,125303878.0,16787446.0,0.0,3530080.0,20317526.0,0.0
1756,281910000.0,56911626.0,0.0,37001018.0,93912644.0,0.0
1769,843239215.0,142697681.0,0.0,128950717.0,271648398.0,220394479.0
1776,322070082.0,55657899.0,0.0,13400814.0,69058713.0,1103636.0
1783,253397616.0,36852765.0,0.0,21061600.0,57914365.0,11110769.0
1787,185800128.0,11148007.0,0.0,334440.0,11482447.0,0.0
1796,654333109.0,41503563.0,0.0,8035560.0,49539123.0,0.0
1799,7385970614.0,1224330842.0,14357.0,261932054.0,1486277253.0,0.0
1800,2166497348.0,390682762.0,0.0,15801822.0,406484584.0,0.0
1809,461023520.0,107849746.0,0.0,33385600.0,141235346.0,0.0
1810,44818036.0,0.0,0.0,40000.0,40000.0,0.0
1815,408670455.0,70006186.0,0.0,3562522.0,73568708.0,0.0
1823,1438975140.0,266983226.0,0.0,53602511.0,320585737.0,0.0
1850,176771054.0,31697951.0,0.0,1916547.0,33614498.0,0.0
1866,40434816.0,9316181.0,0.0,11940885.0,21257066.0,6169188.0
1867,359218004.0,103038215.0,0.0,105122701.0,208160916.0,80995231.0
1877,29986928225.0,4897549876.0,592020.0,370712213.0,5268854109.0,18417502.0
1880,1391562567.0,258341514.0,0.0,31101331.0,289442845.0,47905876.0
1882,399163415.0,30862378.0,0.0,1322664.0,32185042.0,0.0
1887,438848427.0,88335821.0,0.0,56122635.0,144458456.0,11432970.0
1888,462914765.0,80011702.0,0.0,3440592.0,83452294.0,0.0
1889,162312940.0,681480.0,0.0,119053.0,800533.0,0.0
1891,413092.0,0.0,0.0,10000.0,10000.0,0.0
1896,113658618.0,23232886.0,0.0,3524946.0,26757832.0,0.0
1910,116739345.0,21545310.0,0.0,3709117.0,25254427.0,12233495.0
1912,10683242.0,1486576.0,0.0,89280.0,1575856.0,0.0
1915,147387993.0,5757030.0,0.0,1161216.0,6918246.0,0.0
1916,2929367441.0,185219139.0,0.0,10798272.0,196017411.0,0.0
1917,168281628.0,31172630.0,2760.0,6011343.0,37186733.0,948965.0
1921,300000.0,88425.0,0.0,103000.0,191425.0,49142.0
1925,3120397161.0,376027983.0,0.0,12966999.0,388994982.0,0.0
1931,294561506.0,46580689.0,900.0,36186732.0,82768321.0,9894118.0
1932,1730223289.0,262333603.0,1984.0,21040033.0,283375620.0,39839420.0
1937,1290498064.0,1088087.0,0.0,2012109.0,3100196.0,0.0
1951,758147391.0,192624698.0,83039889.0,244088456.0,519753043.0,225867228.0
1953,16182793.0,0.0,0.0,70000.0,70000.0,0.0
1954,70495663.0,0.0,0.0,120000.0,120000.0,0.0
1964,84081288.0,15923784.0,0.0,5021298.0,20945082.0,24528303.0
1968,2140503872.0,398677413.0,0.0,88562231.0,487239644.0,19444502.0
1975,3142616063.0,528576448.0,0.0,122716445.0,651292893.0,5667568.0
1976,103583961.0,20544407.0,0.0,11366722.0,31911129.0,0.0
1977,446744671.0,56992474.0,17349307.0,2230252.0,76572033.0,0.0
1984,33053689.0,5646548.0,0.0,4909861.0,10556409.0,0.0
1990,110732071.0,21216768.0,0.0,7989532.0,29206300.0,0.0
1999,1933500.0,493264.0,0.0,641266.0,1134530.0,893574.0
2010,175199041.0,32603689.0,0.0,15241184.0,47844873.0,0.0
2016,5110566975.0,975209711.0,0.0,262932089.0,1238141800.0,16756861.0
2021,1159320088.0,192618725.0,0.0,51523382.0,244142107.0,104162026.0
2024,8950812938.0,9409508.0,635841.0,36517605.0,46562954.0,133465.0
2025,1730125954.0,326993798.0,0.0,98911289.0,425905087.0,0.0
2035,478319386.0,86314641.0,0.0,3373078.0,89687719.0,17951593.0
2037,150303000.0,0.0,0.0,1548120.0,1548120.0,0.0
2042,98839050.0,102085.0,0.0,383694.0,485779.0,0.0
2043,2631563188.0,502385649.0,42165931.0,124732431.0,669284011.0,13436960.0
2059,32400000.0,0.0,0.0,10000.0,10000.0,3241000.0
2063,343630683.0,50033451.0,46847944.0,5810512.0,102691907.0,0.0
2070,357435435.0,76329217.0,0.0,25247516.0,101576733.0,36609773.0
2071,16521292539.0,3002766327.0,180.0,255690532.0,3258457039.0,3110460.0
2080,135943581.0,32504079.0,38749942.0,8198871.0,79452892.0,4317320.0
2094,484012512.0,104436528.0,0.0,104693779.0,209130307.0,277300525.0
2096,812769596.0,57789110.0,0.0,16775532.0,74564642.0,4232668.0
2103,2180118158.0,272017475.0,130978018.0,34605055.0,437600548.0,164473141.0
2111,59873729.0,0.0,0.0,40000.0,40000.0,0.0
2113,1091826289.0,290263106.0,68950147.0,143949322.0,503162575.0,0.0
2119,3712281981.0,676416714.0,669882.0,108488089.0,785574685.0,1126420.0
2122,29431645.0,4374669.0,1200.0,1103684.0,5479553.0,0.0
2126,243601502.0,44816778.0,205440.0,6696986.0,51719204.0,0.0
2127,116857729.0,8602344.0,0.0,1015233.0,9617577.0,0.0
2137,281999103.0,52057676.0,40.0,11029143.0,63086859.0,11925694.0
2138,197693878.0,32811657.0,0.0,6243552.0,39055209.0,0.0
2143,309133043.0,3004465.0,4342148.0,1625975.0,8972588.0,0.0
2149,5134725.0,0.0,0.0,10000.0,10000.0,0.0
2155,3000000.0,648000.0,0.0,637440.0,1285440.0,0.0
2162,2383468346.0,298915939.0,0.0,71481696.0,370397635.0,136186388.0
