,FAC_MNTPRI_C,FAC_MFODEC_C,FAC_MNTDCO_C,FAC_MNTTVA_C
899,3273700540.0,8129922.0,0.0,577016521.0
906,200643995.0,0.0,0.0,26047542.0
912,32353000.0,0.0,0.0,5283480.0
921,61451880.0,0.0,0.0,3687114.0
923,2882047584.0,0.0,0.0,469574785.0
924,1563718334.0,483856.0,0.0,274193777.0
937,3091235380.0,424239.0,0.0,509766013.0
943,7286199213.0,38556.0,0.0,1098527030.0
950,106436978.0,40000.0,0.0,14307964.0
954,707512920.0,4381825.0,0.0,99785769.0
963,38663937.0,0.0,0.0,6223188.0
966,61984211.0,0.0,0.0,0.0
969,7764048.0,0.0,0.0,1397532.0
970,44340178.0,0.0,0.0,7981233.0
974,961646106.0,0.0,0.0,173130450.0
977,226448184.0,0.0,0.0,30981240.0
982,469309800.0,4428672.0,0.0,82683048.0
987,13095264.0,0.0,0.0,2357148.0
990,523219872.0,0.0,0.0,60896772.0
991,4622321706.0,712.0,0.0,570361161.0
1009,26441016.0,0.0,0.0,0.0
1010,15005073.0,0.0,0.0,2700912.0
1015,26431564.0,0.0,0.0,4757681.0
1020,8762000.0,0.0,0.0,1273080.0
1023,6359961.0,0.0,0.0,1144794.0
1033,29903237.0,0.0,0.0,5382582.0
1045,11562522004.0,1050849.0,0.0,1085280809.0
1064,297676272.0,0.0,0.0,53581728.0
1076,41442327.0,0.0,0.0,7459618.0
1081,20176680.0,0.0,0.0,3631800.0
1091,1668133675.0,30066.0,0.0,243372069.0
1097,15824080.0,0.0,0.0,2848332.0
1128,160811264.0,0.0,0.0,26920853.0
1129,151096360.0,0.0,0.0,13414626.0
1143,97476398.0,974763.0,0.0,17721208.0
1144,38115155.0,0.0,0.0,6860727.0
1151,13237991.0,0.0,0.0,2382836.0
1158,24115519.0,0.0,0.0,4340788.0
1163,24101980.0,0.0,0.0,4338356.0
1167,34771870.0,0.0,0.0,2086312.0
1175,182516448.0,1626247.0,1354.0,31560121.0
1183,29708453.0,0.0,0.0,5347520.0
1194,9195645.0,0.0,0.0,1655215.0
1204,7299280.0,0.0,0.0,1313870.0
1207,52826400.0,0.0,0.0,3169584.0
1225,1902169806.0,15605402.0,0.0,334051016.0
1228,126899173.0,0.0,0.0,22187128.0
1241,6882906059.0,55625.0,0.0,1238846802.0
1260,75675808.0,0.0,0.0,9121648.0
1263,46885512.0,0.0,0.0,8439372.0
1264,137709336.0,0.0,0.0,24787668.0
1279,57668785.0,0.0,0.0,630090.0
1283,4656300.0,0.0,0.0,279378.0
1298,12970282.0,0.0,0.0,2334644.0
1300,123880780.0,0.0,0.0,22298539.0
1330,79000480.0,0.0,0.0,4380000.0
1348,85049049.0,616097.0,0.0,14016495.0
1349,11044680.0,0.0,0.0,1988040.0
1361,31727664.0,0.0,0.0,5710980.0
1363,2408820.0,0.0,0.0,411386.0
1368,36260262.0,0.0,0.0,6418844.0
1371,1471921469.0,512951.0,0.0,186480560.0
1372,9652236.0,0.0,0.0,1737398.0
1375,68892254.0,0.0,0.0,12400606.0
1383,12277143364.0,2449434.0,216980.0,1889662322.0
1391,11881148.0,0.0,0.0,1883913.0
1417,3841050.0,0.0,0.0,691389.0
1426,9469599.0,0.0,0.0,1704528.0
1436,16983899.0,0.0,0.0,3057084.0
1449,36608792.0,0.0,0.0,4129498.0
1462,430143234.0,0.0,0.0,51351275.0
1472,147855237.0,0.0,0.0,26613942.0
1473,31727664.0,0.0,0.0,5710980.0
1474,58834086.0,60863.0,0.0,9763985.0
1488,89963412.0,0.0,0.0,16193412.0
1493,112723332.0,0.0,0.0,20290200.0
1496,67387116.0,0.0,0.0,12129264.0
1498,17695992.0,0.0,0.0,3185280.0
1514,3082980.0,0.0,0.0,0.0
1515,1708000000.0,0.0,0.0,307440000.0
1527,3171836863.0,0.0,0.0,570930636.0
1529,35388288.0,0.0,0.0,6369888.0
1543,143061339.0,0.0,0.0,25751034.0
1545,395123817.0,253925.0,206150.0,65697896.0
1548,17592370.0,0.0,0.0,3166630.0
1550,243003832.0,0.0,0.0,43740695.0
1573,8672628.0,0.0,0.0,0.0
1595,65612436.0,0.0,0.0,11810232.0
1608,13008000.0,0.0,0.0,2341440.0
1621,7345176.0,0.0,0.0,1322136.0
1631,10051083.0,0.0,0.0,1809192.0
1635,3749000.0,0.0,0.0,674820.0
1641,512200000.0,0.0,0.0,92196000.0
1651,7590960.0,0.0,0.0,1366368.0
1661,386056232.0,3585048.0,0.0,57900514.0
1693,5437275.0,0.0,0.0,978711.0
1718,5902866.0,0.0,0.0,1062516.0
1724,5584718.0,0.0,0.0,670166.0
1730,40260864.0,0.0,0.0,7246944.0
1741,68526112.0,0.0,0.0,12334701.0
1742,30206316.0,0.0,0.0,5436936.0
1743,526888976.0,0.0,0.0,83409033.0
1747,43010184.0,0.0,0.0,7741827.0
1753,72956354.0,0.0,0.0,13132145.0
1766,19528056.0,0.0,0.0,3515052.0
1768,6470040.0,0.0,0.0,1164610.0
1787,7894539.0,0.0,0.0,1421016.0
1796,472247264.0,0.0,0.0,85004503.0
1799,14412834.0,0.0,0.0,2594304.0
1804,1915026.0,0.0,0.0,229803.0
1807,16895640.0,0.0,0.0,3041220.0
1819,32655600.0,0.0,0.0,6204564.0
1828,55737588.0,0.0,0.0,10032744.0
1831,30178581.0,0.0,0.0,5432145.0
1868,49519057.0,96300.0,0.0,8913430.0
1870,25471701.0,0.0,0.0,4584906.0
1885,20692692.0,0.0,0.0,3724680.0
1886,66698935.0,0.0,0.0,12005815.0
1891,99392495.0,69918.0,0.0,17678112.0
1912,10575888.0,0.0,0.0,1903660.0
1921,30371250.0,303713.0,0.0,0.0
1923,429562764.0,0.0,0.0,77321292.0
1937,91173142.0,7538.0,0.0,14224212.0
1953,11976531.0,0.0,0.0,2155776.0
1954,556050638.0,0.0,0.0,99424273.0
1975,1839653731.0,1379834.0,0.0,254322505.0
1983,24347304.0,0.0,0.0,4382424.0
2014,25415508.0,0.0,0.0,4574796.0
2024,232981800.0,0.0,0.0,37732374.0
2039,8702424.0,0.0,0.0,1566432.0
2043,1090133636.0,0.0,0.0,196224054.0
2063,68434648.0,56213.0,0.0,12328354.0
2081,100750.0,0.0,0.0,18135.0
2086,75338300.0,160058.0,0.0,13589704.0
2111,750773436.0,2593400.0,0.0,134073120.0
2137,8535342998.0,334275.0,0.0,1327317861.0
2140,4450620.0,0.0,0.0,534074.0
2143,52545493.0,0.0,0.0,6379691.0
2149,19663655.0,0.0,0.0,2776601.0
2151,24114679.0,0.0,0.0,0.0
2155,130138132.0,0.0,0.0,17594536.0
2156,547404075.0,0.0,0.0,98532732.0
2173,1102817361.0,87910.0,0.0,179660785.0
2189,775756448.0,2503611.0,0.0,142317608.0
2215,1426783712.0,409339.0,0.0,229267597.0
2224,63223590.0,0.0,0.0,11380250.0
2227,257364926.0,404.0,0.0,34736418.0
2230,1830284323.0,2607858.0,0.0,303399623.0
2233,4739956.0,0.0,0.0,853192.0
2257,2691018332.0,5394723.0,0.0,453035915.0
2260,62793.0,0.0,0.0,11303.0
2288,349142730.0,0.0,0.0,62845692.0
2305,16966425.0,0.0,0.0,3053953.0
2316,152558748.0,0.0,0.0,27460572.0
2318,2495067736.0,0.0,0.0,149704068.0
2319,22167072.0,0.0,0.0,3990072.0
2350,187942198.0,66963.0,0.0,32224779.0
2351,3440771.0,0.0,0.0,619339.0
2366,62867387.0,0.0,0.0,11316123.0
2370,36081318.0,0.0,0.0,6494634.0
2404,435168366.0,0.0,0.0,78330267.0
2413,47060384.0,46612.0,0.0,6987335.0
2434,223947969.0,0.0,0.0,40310612.0
2441,13034174.0,0.0,0.0,2346150.0
2451,698529357.0,0.0,0.0,125735289.0
2459,43699584.0,0.0,0.0,7865922.0
2466,200291774.0,0.0,0.0,36052521.0
2482,31943161.0,0.0,0.0,5749762.0
2483,24202467.0,0.0,0.0,4356444.0
2489,855988957.0,6074550.0,0.0,154806761.0
2492,7035877.0,0.0,0.0,1254614.0
2509,368000.0,0.0,0.0,66240.0
2524,189453096.0,0.0,0.0,34101528.0
2529,214286.0,0.0,0.0,38571.0
2531,23427768.0,0.0,0.0,4217004.0
2532,169601008.0,0.0,0.0,30528185.0
2535,16866000.0,0.0,0.0,3035880.0
2551,15948071.0,0.0,0.0,2566963.0
2562,355643503.0,3399782.0,0.0,63952000.0
2568,10708884.0,0.0,0.0,1927596.0
2588,403950788.0,23496.0,0.0,68402561.0
2608,208924262.0,0.0,0.0,30833897.0
2618,11116309.0,72500.0,0.0,2006559.0
2620,56015239.0,0.0,0.0,9882245.0
2622,27635472.0,0.0,0.0,4974384.0
2636,45119720.0,0.0,0.0,8121545.0
2651,36805875.0,0.0,0.0,6624967.0
2684,266741774.0,1530742.0,0.0,41033650.0
2686,37929200.0,0.0,0.0,2275752.0
2737,64165712.0,0.0,0.0,11549808.0
2744,84000000.0,0.0,0.0,10080000.0
2749,805598339.0,392647.0,0.0,122890718.0
2817,690001.0,0.0,0.0,124200.0
2829,8652808763.0,0.0,0.0,1467828368.0
2844,100356288.0,0.0,0.0,18064116.0
2850,710249354.0,0.0,0.0,127844891.0
2858,31436448.0,0.0,0.0,5658552.0
2891,85686224.0,0.0,0.0,15423519.0
2902,6900777.0,0.0,0.0,1242141.0
2912,89161929.0,64416.0,0.0,11995873.0
2917,12730255.0,0.0,0.0,2291446.0
2943,25911756.0,0.0,0.0,4664112.0
2947,1541424936.0,0.0,0.0,94071742.0
2959,2800000.0,0.0,0.0,504000.0
2969,132821441.0,0.0,0.0,17138978.0
2993,22246200.0,0.0,0.0,4004316.0
2998,2400000.0,0.0,0.0,288000.0
3001,9513354.0,56880.0,0.0,1288121.0
3011,30425652.0,0.0,0.0,5476620.0
3016,402703599.0,0.0,0.0,72486639.0
3032,4383041153.0,2274111.0,61752.0,717272243.0
3036,11044680.0,0.0,0.0,1988040.0
3042,85215435.0,232953.0,0.0,18864381.0
3057,331826031.0,95604.0,0.0,55099678.0
3067,54293565.0,0.0,0.0,9772839.0
3090,110463916.0,0.0,0.0,19048463.0
3101,22915800.0,0.0,0.0,4124844.0
3103,72531021.0,304484.0,0.0,923180268.0
3104,1532936543.0,43850.0,0.0,275820648.0
3118,223790927.0,0.0,0.0,40282365.0
3123,5258069.0,0.0,0.0,813292.0
3132,19576404.0,31794.0,0.0,3110652.0
3148,983927950.0,0.0,0.0,177107008.0
3151,25496904.0,0.0,0.0,4589436.0
3154,8051448.0,0.0,0.0,1449255.0
3166,196800717.0,831944.0,0.0,34519509.0
3174,58369800.0,0.0,0.0,9252864.0
3179,2880000.0,28800.0,0.0,523584.0
3181,8320980.0,0.0,0.0,1497780.0
3190,209904482.0,0.0,0.0,12594269.0
3191,542750.0,0.0,0.0,82395.0
3194,57199620.0,0.0,0.0,10295928.0
3201,803941.0,0.0,0.0,144709.0
3203,47310888.0,31353.0,0.0,7264953.0
3211,2114305013.0,5322597.0,0.0,346587247.0
3226,21408504.0,0.0,0.0,0.0
3234,1948685603.0,0.0,0.0,246094243.0
3249,26727138.0,0.0,0.0,4810884.0
3250,49268194.0,0.0,0.0,8868271.0
3251,288775455.0,72479.0,0.0,51940671.0
3255,140965436.0,478865.0,0.0,19574308.0
3277,45623386.0,0.0,0.0,8212210.0
3292,36014869.0,0.0,0.0,6482677.0
3299,388409250.0,4210854.0,0.0,65415851.0
3306,591211276.0,0.0,0.0,106418027.0
3338,15195168.0,0.0,0.0,2735136.0
3350,1286782796.0,756773.0,0.0,202452100.0
3360,49413808.0,147026.0,0.0,8882312.0
3402,2102206972.0,0.0,0.0,361473669.0
3403,110347040.0,0.0,0.0,6620822.0
3404,830156237.0,8203368.0,0.0,150315567.0
3416,85634016.0,0.0,0.0,0.0
3418,57066540.0,0.0,0.0,10271976.0
3421,40750729.0,0.0,0.0,6593728.0
3423,32781456.0,0.0,0.0,5900652.0
3435,69761064.0,0.0,0.0,12556992.0
3440,26751222.0,0.0,0.0,4815216.0
3441,98756860.0,0.0,0.0,17742074.0
3447,581628466.0,444336.0,0.0,105809473.0
3449,15634128.0,0.0,0.0,2814135.0
3457,29732299.0,31818.0,0.0,5348434.0
3461,14853277396.0,14507502.0,0.0,1014447111.0
3471,7068360.0,0.0,0.0,1272300.0
3480,21673506.0,0.0,0.0,3901230.0
3490,2744383561.0,2964244.0,0.0,229255122.0
3495,13800853695.0,802560453.0,0.0,2629099053.0
3496,490000.0,0.0,0.0,58800.0
3532,20486748.0,0.0,0.0,3687612.0
3545,547612387.0,356835.0,0.0,97853674.0
3548,13672740.0,0.0,0.0,2461092.0
3549,340705706.0,0.0,0.0,60724927.0
3551,88197185.0,0.0,0.0,15875493.0
3556,5293746.0,0.0,0.0,952875.0
3564,2273529238.0,53836.0,0.0,277873375.0
3598,232587842.0,68540.0,0.0,37154698.0
3625,25174332.0,0.0,0.0,4531380.0
3627,162869308.0,0.0,0.0,27250372.0
3630,10665928814.0,37073443.0,0.0,1903837336.0
3632,26727138.0,0.0,0.0,4810884.0
3638,21127140.0,0.0,0.0,3802680.0
3639,522606391.0,0.0,0.0,94069154.0
3640,67136388.0,0.0,0.0,12416871.0
3652,21796520.0,115089.0,0.0,2675679.0
3676,2062602536.0,0.0,0.0,370170064.0
3681,452376099.0,0.0,0.0,81427695.0
3684,275456160.0,0.0,0.0,49582104.0
3716,627989050.0,0.0,0.0,108483877.0
3726,66373932.0,0.0,0.0,11947300.0
3742,43619390.0,0.0,0.0,2617163.0
3765,71719461.0,41655.0,0.0,10821753.0
3776,92221112.0,0.0,0.0,16599798.0
3777,20138160.0,0.0,0.0,3624864.0
3809,264228985.0,0.0,0.0,47561217.0
3850,351952716.0,0.0,0.0,63351460.0
3863,9767588.0,0.0,0.0,1758165.0
3867,16518000.0,0.0,0.0,2973240.0
3884,50055588.0,0.0,0.0,9009792.0
3900,17010000.0,0.0,0.0,3061800.0
3905,13009196.0,0.0,0.0,2341659.0
3906,1091684214.0,3440516.0,0.0,197122418.0
3916,33755938.0,0.0,0.0,6076068.0
3920,162569354.0,0.0,0.0,29262483.0
3962,5877794277.0,1108701.0,0.0,1055354798.0
3965,29758168.0,0.0,0.0,5356461.0
3969,764102723.0,38402.0,0.0,115416943.0
3979,2242000.0,0.0,0.0,403560.0
3985,12810300.0,0.0,0.0,2305848.0
3997,77661924.0,0.0,0.0,13979136.0
4000,98982576.0,0.0,0.0,17816868.0
4011,16352280.0,0.0,0.0,2943408.0
4016,18442956.0,0.0,0.0,3319728.0
4021,1640471314.0,44982.0,0.0,255416988.0
4023,409230549.0,0.0,0.0,73661496.0
4027,6586353.0,0.0,0.0,175285.0
4060,35359632.0,0.0,0.0,0.0
4061,181522389.0,0.0,0.0,32673996.0
4065,344390518.0,2429.0,0.0,54371364.0
4074,5491401619.0,0.0,0.0,988448441.0
4087,34139952.0,0.0,0.0,6145188.0
4088,195169434.0,0.0,0.0,21105130.0
4107,179454058.0,89722.0,0.0,31164510.0
4119,20257344.0,0.0,0.0,3646320.0
4121,45402922.0,0.0,0.0,8172522.0
4123,8452026.0,0.0,0.0,1521365.0
4135,51133486.0,13424.0,0.0,7156697.0
4140,46712347.0,0.0,0.0,8408222.0
4156,1328678.0,13287.0,0.0,161036.0
4167,9969940.0,0.0,0.0,1794590.0
4176,259333013.0,470514.0,0.0,44233214.0
4178,8991271.0,0.0,0.0,1618429.0
4184,79389454.0,0.0,0.0,9526731.0
4198,312054864.0,0.0,0.0,56169882.0
4207,3720500000.0,0.0,0.0,669690000.0
4212,34914054.0,67708.0,0.0,6293238.0
4226,18048312.0,0.0,0.0,3429180.0
4238,174430638.0,7145.0,0.0,29478778.0
4265,12572374.0,0.0,0.0,2263018.0
4287,1400095396.0,0.0,0.0,252062530.0
4289,499157703.0,0.0,0.0,89847399.0
4309,81365000.0,0.0,0.0,14645700.0
4315,107605799.0,0.0,0.0,19369037.0
4324,19183255077.0,93996.0,0.0,2874729628.0
4326,10125888.0,0.0,0.0,1822660.0
4346,299707992.0,0.0,0.0,53947432.0
4351,22515996.0,0.0,0.0,4052879.0
4369,122434044.0,0.0,0.0,22038119.0
4377,9000000.0,0.0,0.0,1080000.0
4386,130299710.0,142886.0,0.0,23421133.0
4392,11940000.0,0.0,0.0,2041200.0
4400,40992000.0,0.0,0.0,2459520.0
4401,27375912.0,0.0,0.0,4927662.0
4403,556672381.0,2637875.0,0.0,37729417.0
4404,3028900.0,0.0,0.0,545202.0
4409,8476968.0,0.0,0.0,1610616.0
4419,172760.0,0.0,0.0,31095.0
4420,27500000.0,0.0,0.0,0.0
4427,28279188.0,0.0,0.0,5090256.0
4434,1235171265.0,42527.0,0.0,222330822.0
4436,33170478.0,0.0,0.0,5970687.0
4447,1893932836.0,0.0,0.0,111713970.0
4473,10262082.0,0.0,0.0,1847175.0
4476,23819603.0,0.0,0.0,4287527.0
4480,1477105.0,0.0,0.0,88626.0
4482,1577644.0,0.0,0.0,283976.0
4490,6453732.0,0.0,0.0,1161669.0
4494,48260478.0,0.0,0.0,8686818.0
4504,11203045.0,0.0,0.0,2016546.0
4518,25121440.0,0.0,0.0,4521850.0
4520,114044712.0,0.0,0.0,20527992.0
4533,38807840.0,4950.0,0.0,6986294.0
4549,30845993.0,0.0,0.0,4942801.0
4551,2251344408.0,0.0,0.0,405241976.0
4557,10884460.0,0.0,0.0,1937844.0
4563,24589232622.0,7869000.0,0.0,4425186795.0
4564,188664676.0,0.0,0.0,33959636.0
4567,458821002.0,0.0,0.0,60896772.0
4582,2462609916.0,1404182.0,0.0,155100037.0
4596,862854274.0,0.0,0.0,96121341.0
4598,1164374905.0,0.0,0.0,209587299.0
4604,2230063958.0,3371066.0,16335.0,402021220.0
4625,181900920.0,0.0,0.0,32742156.0
4641,16659080957.0,48587.0,0.0,2984311751.0
4642,11805732.0,0.0,0.0,2125032.0
4643,8691432.0,0.0,0.0,1564458.0
4646,1104718333.0,9337825.0,0.0,193218880.0
4651,39780400.0,0.0,0.0,6380472.0
4653,12911503.0,0.0,0.0,2324071.0
4656,396762.0,0.0,0.0,71417.0
4662,3290985876.0,197358989.0,0.0,627872674.0
4667,29890740.0,0.0,0.0,5380332.0
4690,624927251.0,641293.0,18000.0,111161782.0
4713,35511914.0,0.0,0.0,6392130.0
4727,2202348807.0,0.0,0.0,135714693.0
4736,3967008.0,0.0,0.0,530848.0
4737,138024447.0,0.0,0.0,24844397.0
4746,7200000.0,0.0,0.0,864000.0
4749,50000000.0,0.0,0.0,6000000.0
4759,32322564.0,0.0,0.0,6060480.0
4773,539872311.0,0.0,0.0,97177018.0
4779,34755972.0,0.0,0.0,6256080.0
4783,80403238.0,0.0,0.0,14472577.0
4796,251063896.0,0.0,0.0,45191500.0
4799,90575074.0,0.0,0.0,16303504.0
4806,56710605.0,0.0,0.0,10207890.0
4817,472484294.0,4000344.0,1190.0,85655746.0
4821,61960926.0,0.0,0.0,11152971.0
4822,6773496.0,1096.0,0.0,1208716.0
4836,2726600.0,0.0,0.0,490788.0
4839,25289676.0,0.0,0.0,4552140.0
4849,67964777.0,0.0,0.0,4077887.0
4851,14526096.0,0.0,0.0,2614692.0
4859,142000.0,0.0,0.0,25560.0
4869,100679443.0,0.0,0.0,18122299.0
4879,360364572.0,0.0,0.0,60527615.0
4880,693415.0,0.0,0.0,124815.0
4894,41240124.0,0.0,0.0,7423224.0
4898,1157854403.0,1130587.0,0.0,83688562.0
4905,14781180.0,0.0,0.0,2660616.0
4919,15459852.0,0.0,0.0,2782776.0
4921,102264396.0,0.0,0.0,18407592.0
4925,10708884.0,0.0,0.0,1927596.0
4927,4667073244.0,1467610.0,0.0,822434684.0
4928,1431430.0,0.0,0.0,257658.0
4944,77610240.0,0.0,0.0,13969836.0
4946,9975198.0,0.0,0.0,1795536.0
4960,3219143350.0,26916677.0,0.0,576599043.0
4977,85280132.0,94272.0,0.0,11991835.0
4979,187410964.0,0.0,0.0,33733960.0
4984,7861800.0,0.0,0.0,1415124.0
4992,447354330.0,0.0,0.0,80523760.0
5004,21179472.0,0.0,0.0,3812304.0
5015,56546751.0,0.0,0.0,10178406.0
5019,12520408.0,0.0,0.0,2253673.0
5021,4203096.0,0.0,0.0,756556.0
5026,2753400.0,0.0,0.0,330408.0
5057,1022227191.0,4768.0,0.0,143050357.0
5058,7093419340.0,13124950.0,0.0,1160983837.0
5066,10921608.0,0.0,0.0,1965888.0
5078,310818437.0,102904.0,0.0,51039600.0
5093,39026172.0,0.0,0.0,7024716.0
5095,490797468.0,0.0,0.0,88343507.0
5104,45105300.0,0.0,0.0,8118951.0
5121,332537.0,0.0,0.0,58096.0
5144,6441928.0,0.0,0.0,1159547.0
5168,7999722982.0,2084857.0,0.0,537786644.0
5174,501140820.0,7812.0,0.0,50161211.0
5187,31997576.0,0.0,0.0,5759564.0
5194,4700000.0,0.0,0.0,744000.0
5223,7782906.0,0.0,0.0,1400922.0
5230,6583314.0,0.0,0.0,1184994.0
5232,727035553.0,0.0,0.0,130866399.0
5276,4675962.0,0.0,0.0,888432.0
5277,13399751885.0,255167.0,0.0,1914739769.0
5280,16261284.0,0.0,0.0,2927028.0
5286,317583384.0,117749.0,0.0,47773463.0
5288,4081933.0,2719.0,0.0,714837.0
5306,25456325.0,0.0,0.0,3318171.0
5333,778950520.0,0.0,0.0,93474061.0
5334,32322564.0,0.0,0.0,5818056.0
5347,99816410.0,0.0,0.0,17966955.0
5350,11514053.0,0.0,0.0,1436867.0
5361,2809000.0,28090.0,0.0,510677.0
5364,29352135.0,0.0,0.0,5256384.0
5370,28109292.0,0.0,0.0,5059672.0
5379,18047622080.0,15400.0,0.0,3236593411.0
5392,20176680.0,0.0,0.0,3631800.0
5408,59898934.0,0.0,0.0,7292870.0
5415,64526316.0,0.0,0.0,11614740.0
5452,23345091.0,0.0,0.0,4202115.0
5467,397843226.0,0.0,0.0,71611789.0
5468,4446330807.0,7170488.0,0.0,794394205.0
5478,9590707.0,0.0,0.0,1150885.0
5481,44115060.0,0.0,0.0,7940709.0
5486,270742350.0,0.0,0.0,48733620.0
5489,5577500.0,0.0,0.0,917910.0
5494,10159250.0,0.0,0.0,1930260.0
5501,20915280.0,0.0,0.0,3764748.0
5516,5589576.0,0.0,0.0,1006124.0
5517,73213838.0,0.0,0.0,8636660.0
5540,21056017.0,0.0,0.0,2885701.0
5557,1162467911.0,0.0,0.0,143994765.0
5560,2484489.0,0.0,0.0,447208.0
5583,20959044.0,0.0,0.0,0.0
5584,524843400.0,0.0,0.0,60896772.0
5607,13680000.0,136800.0,0.0,2487024.0
5613,514525861.0,95004.0,0.0,72445903.0
