,SND_MNTPRD_A,SND_MNTTVA_A,SND_MNTDRC_A,SND_MNTAVA_A,SND_MNTTAX_A,SND_MNTPAY_A,SND_MNTAIR_A
348,3000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
352,2000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
354,20968961729.0,0.0,0.0,0.0,1320000.0,1320000.0,0.0
357,276422743.0,0.0,0.0,0.0,130000.0,130000.0,0.0
361,997034828.0,0.0,0.0,0.0,1410000.0,1410000.0,0.0
373,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
396,2000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
402,5000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
403,13000000.0,0.0,0.0,0.0,90000.0,90000.0,0.0
409,15000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
430,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
433,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
434,28000000.0,0.0,0.0,0.0,180000.0,180000.0,0.0
442,218816837.0,39961.0,0.0,0.0,472198.0,512159.0,0.0
447,2500000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
450,622871585.0,0.0,0.0,0.0,320000.0,320000.0,0.0
462,1042045188.0,0.0,0.0,0.0,30000.0,30000.0,0.0
464,43001020.0,0.0,0.0,0.0,210000.0,210000.0,0.0
467,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
478,1315497563.0,0.0,0.0,0.0,340000.0,340000.0,0.0
489,367000000.0,0.0,0.0,0.0,1100000.0,1100000.0,0.0
491,3000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
507,151322171026.0,0.0,0.0,0.0,44085000.0,44085000.0,0.0
520,10000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
523,5513164666.0,0.0,0.0,0.0,1590000.0,1590000.0,0.0
526,249767162.0,0.0,0.0,0.0,90000.0,90000.0,0.0
528,46500000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
529,67000000.0,0.0,0.0,0.0,160000.0,160000.0,0.0
533,3000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
537,4500000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
538,13041385918.0,0.0,0.0,0.0,50000.0,50000.0,0.0
540,4200000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
546,3181083.0,0.0,0.0,0.0,20000.0,20000.0,0.0
549,833107.0,0.0,0.0,0.0,10000.0,10000.0,0.0
565,159345945.0,0.0,0.0,0.0,30000.0,30000.0,0.0
566,151871900.0,0.0,0.0,0.0,170000.0,170000.0,0.0
568,18210956.0,14858.0,0.0,0.0,50000.0,64858.0,0.0
580,87371638.0,0.0,0.0,0.0,10000.0,10000.0,0.0
581,3000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
604,186988892.0,0.0,0.0,0.0,40000.0,40000.0,0.0
607,235960936.0,0.0,0.0,0.0,40000.0,40000.0,0.0
619,121725327.0,0.0,0.0,0.0,180000.0,180000.0,0.0
623,16000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
632,12550455.0,0.0,0.0,0.0,10000.0,10000.0,0.0
648,2500910080.0,0.0,0.0,0.0,3420000.0,3420000.0,0.0
649,471610063.0,0.0,0.0,0.0,0.0,0.0,0.0
653,10000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
659,25500000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
661,3000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
663,10000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
664,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
667,4391967176.0,286586.0,0.0,0.0,810089.0,1096675.0,0.0
670,262625369.0,0.0,0.0,0.0,260000.0,260000.0,0.0
671,63448638.0,2379085.0,0.0,0.0,1348977.0,3728062.0,0.0
690,864989510.0,0.0,0.0,0.0,1650000.0,1650000.0,0.0
711,615873213.0,0.0,0.0,0.0,150000.0,150000.0,0.0
714,66361850.0,0.0,0.0,0.0,290000.0,290000.0,0.0
729,375736480.0,0.0,0.0,0.0,210000.0,210000.0,0.0
732,24000000.0,0.0,0.0,0.0,80000.0,80000.0,0.0
733,62014053.0,0.0,0.0,0.0,310000.0,310000.0,0.0
737,66000000.0,0.0,0.0,0.0,70000.0,70000.0,0.0
738,25000000.0,0.0,0.0,0.0,220000.0,220000.0,0.0
745,3000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
746,9256481391.0,0.0,0.0,0.0,5080000.0,5080000.0,0.0
755,104783734.0,2705429.0,0.0,0.0,3163242.0,5868671.0,0.0
756,1500000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
762,38090717669.0,0.0,0.0,0.0,3740000.0,3740000.0,0.0
774,5193270654.0,2276254.0,0.0,0.0,3143408.0,5419662.0,0.0
776,1515070382.0,0.0,0.0,0.0,800000.0,800000.0,0.0
782,7086707.0,0.0,0.0,0.0,30000.0,30000.0,0.0
813,18556828.0,0.0,0.0,0.0,30000.0,30000.0,0.0
815,239662599.0,0.0,0.0,0.0,50000.0,50000.0,0.0
834,16000000.0,0.0,0.0,0.0,140000.0,140000.0,0.0
837,4000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
839,24800000.0,0.0,0.0,0.0,90000.0,90000.0,0.0
842,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
857,169132710.0,0.0,0.0,0.0,240000.0,240000.0,0.0
862,13020954079.0,0.0,0.0,0.0,1470000.0,1470000.0,0.0
867,25273023127.0,0.0,0.0,0.0,300000.0,300000.0,0.0
873,84638600.0,0.0,0.0,0.0,190000.0,190000.0,0.0
877,5779298.0,0.0,0.0,0.0,40000.0,40000.0,0.0
883,1137496836.0,0.0,0.0,0.0,0.0,0.0,0.0
887,4335667657.0,2242679.0,0.0,0.0,15019270.0,17261949.0,0.0
888,376498503.0,0.0,0.0,0.0,170000.0,170000.0,0.0
891,3683641959.0,0.0,0.0,0.0,170000.0,170000.0,0.0
899,103784609725.0,0.0,0.0,0.0,9910000.0,9910000.0,0.0
903,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
913,2308662000.0,0.0,0.0,0.0,74130000.0,74130000.0,0.0
914,5000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
921,9000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
923,3000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
924,68099011.0,0.0,0.0,0.0,10000.0,10000.0,0.0
931,1000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
935,393396630.0,0.0,0.0,0.0,100000.0,100000.0,0.0
937,27509598139.0,0.0,0.0,0.0,340000.0,340000.0,0.0
943,2635734248.0,0.0,0.0,0.0,140000.0,140000.0,0.0
953,114195419.0,0.0,0.0,0.0,260000.0,260000.0,0.0
954,900000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
956,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
957,25193200.0,0.0,0.0,0.0,150000.0,150000.0,0.0
959,17428846179.0,0.0,0.0,0.0,1790000.0,1790000.0,0.0
963,147387914.0,0.0,0.0,0.0,90000.0,90000.0,0.0
973,9885824055.0,0.0,0.0,0.0,17860000.0,17860000.0,0.0
975,6081201525.0,0.0,0.0,0.0,450000.0,450000.0,0.0
978,230257744.0,0.0,0.0,0.0,30000.0,30000.0,0.0
982,6980405183.0,0.0,0.0,0.0,60000.0,60000.0,0.0
990,2715249482.0,514420.0,0.0,0.0,635661.0,1150081.0,0.0
995,388582308.0,0.0,0.0,0.0,560000.0,560000.0,0.0
1001,2000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1004,2500000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
1011,7296356.0,0.0,0.0,0.0,30000.0,30000.0,0.0
1025,155851762.0,0.0,0.0,0.0,170000.0,170000.0,0.0
1029,75000000.0,0.0,0.0,0.0,90000.0,90000.0,0.0
1033,45000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1040,2000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
1045,66772305604.0,0.0,0.0,0.0,18300000.0,18300000.0,0.0
1069,18000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
1079,204152730.0,0.0,0.0,0.0,560000.0,560000.0,0.0
1082,120000000.0,0.0,0.0,0.0,260000.0,260000.0,0.0
1087,64463722.0,0.0,0.0,0.0,90000.0,90000.0,0.0
1091,34486166531.0,0.0,0.0,0.0,9070000.0,9070000.0,0.0
1101,2042843923.0,0.0,0.0,0.0,100000.0,100000.0,0.0
1105,53216927.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1108,20831460.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1109,1500000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1117,574778272.0,0.0,0.0,0.0,1610000.0,1610000.0,0.0
1126,10000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
1128,362691199.0,0.0,0.0,0.0,940000.0,940000.0,0.0
1132,4920395153.0,0.0,0.0,0.0,260000.0,260000.0,0.0
1160,9224186.0,0.0,0.0,0.0,30000.0,30000.0,0.0
1175,4223785871.0,0.0,0.0,0.0,2055000.0,2055000.0,0.0
1189,57853806.0,0.0,0.0,0.0,50000.0,50000.0,0.0
1199,1165381291.0,0.0,0.0,0.0,180000.0,180000.0,0.0
1207,187374424.0,3433887.0,0.0,0.0,163016.0,3596903.0,0.0
1220,274756044.0,0.0,0.0,0.0,220000.0,220000.0,0.0
1224,1199544031.0,0.0,0.0,0.0,170000.0,170000.0,0.0
1225,118896584210.0,0.0,0.0,0.0,33395000.0,33395000.0,0.0
1228,5090191457.0,0.0,0.0,0.0,120000.0,120000.0,0.0
1233,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1238,300000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1241,13657161961.0,0.0,0.0,0.0,4550000.0,4550000.0,0.0
1251,718862.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1282,2579760.0,85906.0,0.0,0.0,57296.0,143202.0,0.0
1293,193915009.0,0.0,0.0,0.0,20000.0,20000.0,0.0
1296,300000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1316,33000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
1322,1500000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1348,16798765141.0,0.0,0.0,0.0,5710000.0,5710000.0,0.0
1356,13096620.0,0.0,0.0,0.0,60000.0,60000.0,0.0
1364,15600000.0,0.0,0.0,0.0,100000.0,100000.0,0.0
1371,67037539.0,0.0,0.0,0.0,510000.0,510000.0,0.0
1372,174107688.0,0.0,0.0,0.0,30000.0,30000.0,0.0
1377,161000000.0,0.0,0.0,0.0,430000.0,430000.0,0.0
1383,700000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1391,43427096.0,0.0,0.0,0.0,20000.0,20000.0,0.0
1403,62422439.0,0.0,0.0,0.0,30000.0,30000.0,0.0
1411,20178250.0,0.0,0.0,0.0,190000.0,190000.0,0.0
1412,3618351049.0,0.0,0.0,0.0,390000.0,390000.0,0.0
1414,974236905.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1418,149758434.0,0.0,0.0,0.0,90000.0,90000.0,0.0
1425,12571061152.0,5094286.0,5416.0,0.0,4336470.0,9436172.0,1188724.0
1432,2044000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
1434,4600000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
1439,101222560.0,108192.0,0.0,0.0,39964.0,148156.0,0.0
1447,79211987.0,0.0,0.0,0.0,0.0,0.0,0.0
1449,1332411764.0,0.0,0.0,0.0,0.0,0.0,0.0
1464,4137434.0,0.0,0.0,0.0,50000.0,50000.0,0.0
1473,2000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1474,4675727477.0,1800000.0,0.0,0.0,1135000.0,2935000.0,0.0
1480,60984299.0,213553.0,0.0,0.0,209998.0,423551.0,0.0
1497,2500000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
1500,811723011.0,0.0,0.0,0.0,980000.0,980000.0,0.0
1502,155679261.0,0.0,0.0,0.0,320000.0,320000.0,0.0
1515,318228900.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1517,6000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
1545,3935271275.0,0.0,0.0,0.0,850000.0,850000.0,0.0
1588,85967700.0,0.0,0.0,0.0,470000.0,470000.0,0.0
1606,104015117.0,0.0,0.0,0.0,690000.0,690000.0,0.0
1610,183448234.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1632,33272146.0,1219704.0,0.0,0.0,267162.0,1486866.0,0.0
1634,1455490389.0,0.0,0.0,0.0,80000.0,80000.0,0.0
1639,341040924.0,0.0,0.0,0.0,1040000.0,1040000.0,0.0
1641,21000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1646,20000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
1656,17000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
1658,1106299677.0,0.0,0.0,0.0,120000.0,120000.0,0.0
1661,400806546.0,0.0,0.0,0.0,250000.0,250000.0,0.0
1668,12000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
1674,14950500.0,10535.0,0.0,0.0,60210.0,70745.0,0.0
1675,21414317961.0,0.0,0.0,0.0,1240000.0,1240000.0,0.0
1694,185379148.0,0.0,0.0,0.0,220000.0,220000.0,0.0
1704,78639858.0,0.0,0.0,0.0,295000.0,295000.0,0.0
1727,10000000.0,0.0,0.0,0.0,80000.0,80000.0,0.0
1737,121857626.0,0.0,0.0,0.0,260000.0,260000.0,0.0
1739,45812281.0,0.0,0.0,0.0,20000.0,20000.0,0.0
1743,9500000.0,0.0,0.0,0.0,80000.0,80000.0,0.0
1754,393049698.0,16296443.0,0.0,0.0,2333822.0,18630265.0,0.0
1755,4000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1756,11476175967.0,0.0,0.0,0.0,3340000.0,3340000.0,0.0
1768,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1783,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1787,10000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1796,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1799,3100925220.0,0.0,0.0,0.0,220000.0,220000.0,0.0
1800,819776756563.0,0.0,0.0,0.0,35590000.0,35590000.0,0.0
1809,8000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1810,46670414.0,0.0,0.0,0.0,200000.0,200000.0,0.0
1815,1500000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
1823,27000000.0,0.0,0.0,0.0,140000.0,140000.0,0.0
1850,1047224102.0,0.0,0.0,0.0,130000.0,130000.0,0.0
1867,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1877,1556200886.0,2830496.0,0.0,0.0,1295278.0,4125774.0,0.0
1880,11500000.0,0.0,0.0,0.0,120000.0,120000.0,0.0
1882,3500000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
1887,11000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
1888,35000000.0,0.0,0.0,0.0,70000.0,70000.0,0.0
1889,109479004.0,239150.0,0.0,0.0,318961.0,558111.0,0.0
1891,128041273.0,0.0,0.0,0.0,670000.0,670000.0,0.0
1916,46000000.0,0.0,0.0,0.0,130000.0,130000.0,0.0
1917,3000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
1921,605665249.0,0.0,0.0,0.0,400000.0,400000.0,0.0
1925,51500000.0,0.0,0.0,0.0,160000.0,160000.0,0.0
1932,81475593.0,0.0,0.0,0.0,50000.0,50000.0,0.0
1937,26400446103.0,0.0,0.0,0.0,6580000.0,6580000.0,0.0
1951,6850000.0,0.0,0.0,0.0,100000.0,100000.0,0.0
1954,6585127389.0,0.0,0.0,0.0,630000.0,630000.0,0.0
1964,29670418.0,0.0,0.0,0.0,40000.0,40000.0,0.0
1968,43000000.0,0.0,0.0,0.0,310000.0,310000.0,0.0
1975,17227275828.0,0.0,0.0,0.0,330000.0,330000.0,0.0
1976,8000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1977,3000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
1991,31620463.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,300000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2010,186395444.0,0.0,0.0,0.0,30000.0,30000.0,0.0
2016,224796517.0,341762.0,0.0,0.0,601554.0,943316.0,0.0
2021,55300000.0,0.0,0.0,0.0,110000.0,110000.0,0.0
2024,3112540719.0,0.0,0.0,0.0,40000.0,40000.0,0.0
2025,18000000.0,0.0,0.0,0.0,130000.0,130000.0,0.0
2035,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2042,4328974.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2043,142490485.0,0.0,0.0,0.0,300000.0,300000.0,0.0
2063,2000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2070,546740598.0,0.0,0.0,0.0,90000.0,90000.0,0.0
2071,18452314775.0,231539.0,0.0,0.0,175000.0,406539.0,0.0
2080,2400000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
2094,31500000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
2096,4700000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2103,12000000.0,0.0,0.0,0.0,50000.0,50000.0,0.0
2111,754650401.0,0.0,0.0,0.0,590000.0,590000.0,0.0
2113,101810075.0,0.0,0.0,0.0,140000.0,140000.0,0.0
2119,915381976.0,1195944.0,0.0,0.0,345000.0,1540944.0,0.0
2124,143066723962.0,0.0,0.0,0.0,6600000.0,6600000.0,0.0
2126,20678963.0,0.0,0.0,0.0,80000.0,80000.0,0.0
2143,1595518116.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2155,1385368125.0,0.0,0.0,0.0,0.0,0.0,0.0
2162,562652580.0,0.0,0.0,0.0,150000.0,150000.0,0.0
2165,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2173,2762868951.0,0.0,0.0,0.0,590000.0,590000.0,0.0
2176,10233786.0,0.0,0.0,0.0,30000.0,30000.0,0.0
2177,120498724.0,0.0,0.0,0.0,120000.0,120000.0,0.0
2189,40917433293.0,0.0,0.0,0.0,4620000.0,4620000.0,0.0
2202,2000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2206,24275361544.0,0.0,0.0,0.0,15280000.0,15280000.0,0.0
2214,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2215,332404044.0,0.0,0.0,0.0,250000.0,250000.0,0.0
2219,6000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
2230,97955922051.0,0.0,0.0,0.0,17815000.0,17815000.0,0.0
2251,6000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2257,500000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2260,117808653.0,0.0,0.0,0.0,210000.0,210000.0,0.0
2274,80888346.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2275,7000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
2277,4000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2278,2496948767.0,2069376.0,0.0,0.0,545933.0,2615309.0,0.0
2287,500064851.0,243409.0,0.0,0.0,150166.0,393575.0,0.0
2293,2500000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2314,9000000.0,0.0,0.0,0.0,70000.0,70000.0,0.0
2316,1705165388.0,0.0,0.0,0.0,70000.0,70000.0,0.0
2326,106075931.0,0.0,0.0,0.0,100000.0,100000.0,0.0
2345,1000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2346,808424238.0,0.0,0.0,0.0,70000.0,70000.0,0.0
2350,876552707.0,0.0,0.0,0.0,1130000.0,1130000.0,0.0
2351,2586882064.0,0.0,0.0,0.0,50000.0,50000.0,0.0
2353,573000000.0,2700000.0,0.0,0.0,2060000.0,4760000.0,0.0
2359,670000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2362,249375171.0,0.0,0.0,0.0,90000.0,90000.0,0.0
2365,1500000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2366,218611800.0,0.0,0.0,0.0,0.0,0.0,0.0
2388,10960264747.0,0.0,0.0,0.0,18155000.0,18155000.0,0.0
2394,77736160.0,0.0,0.0,0.0,550000.0,550000.0,0.0
2399,3800000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
2400,1163092180.0,0.0,0.0,0.0,150000.0,150000.0,0.0
2413,54863844.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2418,52000000.0,0.0,0.0,0.0,370000.0,370000.0,0.0
2419,343395400.0,258090.0,0.0,0.0,270000.0,528090.0,0.0
2431,108015302.0,0.0,0.0,0.0,240000.0,240000.0,0.0
2445,54884282.0,0.0,0.0,0.0,70000.0,70000.0,0.0
2446,108000000.0,0.0,0.0,0.0,200000.0,200000.0,0.0
2451,2000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2460,81393013.0,0.0,0.0,0.0,190000.0,190000.0,0.0
2461,2758067070.0,0.0,0.0,0.0,1480000.0,1480000.0,0.0
2467,426801790.0,0.0,0.0,0.0,340000.0,340000.0,0.0
2477,21600000.0,0.0,0.0,0.0,90000.0,90000.0,0.0
2478,67171850.0,91547.0,0.0,0.0,151693.0,243240.0,0.0
2482,270037536.0,0.0,0.0,0.0,90000.0,90000.0,0.0
2485,16000000.0,0.0,0.0,0.0,110000.0,110000.0,0.0
2492,1651673724.0,0.0,0.0,0.0,660000.0,660000.0,0.0
2505,154995100.0,0.0,0.0,0.0,160000.0,160000.0,0.0
2507,3146471680.0,3953773.0,0.0,0.0,923286.0,4877059.0,0.0
2509,386650891.0,0.0,0.0,0.0,50000.0,50000.0,0.0
2510,17000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2511,38214213.0,0.0,0.0,0.0,110000.0,110000.0,0.0
2512,36000000.0,0.0,0.0,0.0,100000.0,100000.0,0.0
2514,18000000.0,0.0,0.0,0.0,110000.0,110000.0,0.0
2516,32217230.0,1966841.0,0.0,0.0,320437.0,2287278.0,0.0
2520,6000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
2521,8523735.0,15332.0,0.0,0.0,38633.0,53965.0,0.0
2529,387967633.0,0.0,0.0,0.0,100000.0,100000.0,0.0
2536,4000000.0,0.0,0.0,0.0,40000.0,40000.0,0.0
2540,36852675.0,0.0,0.0,0.0,30000.0,30000.0,0.0
2543,78000000.0,0.0,0.0,0.0,60000.0,60000.0,0.0
2547,2658895.0,0.0,0.0,0.0,0.0,0.0,0.0
2549,64244926.0,6026089.0,0.0,0.0,3306747.0,9332836.0,0.0
2551,2328198246.0,0.0,0.0,0.0,790000.0,790000.0,0.0
2554,2942459864.0,0.0,0.0,0.0,390000.0,390000.0,0.0
2562,178748148.0,0.0,0.0,0.0,70000.0,70000.0,0.0
2569,11000000.0,0.0,0.0,0.0,100000.0,100000.0,0.0
2570,10000000.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2573,1742648361.0,0.0,0.0,0.0,640000.0,640000.0,0.0
2584,3505034.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2608,2066036206.0,0.0,0.0,0.0,40000.0,40000.0,0.0
2613,4500000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2614,59964147.0,0.0,0.0,0.0,90000.0,90000.0,0.0
2618,19863824.0,0.0,0.0,0.0,10000.0,10000.0,0.0
2631,58331205.0,1639287.0,0.0,0.0,319494.0,1958781.0,0.0
2656,10000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2657,6256856806.0,0.0,0.0,0.0,480000.0,480000.0,0.0
2674,7000000.0,0.0,0.0,0.0,30000.0,30000.0,0.0
2679,484804834982.0,0.0,0.0,0.0,25630000.0,25630000.0,0.0
2684,16230402.0,0.0,0.0,0.0,50000.0,50000.0,0.0
2699,7000000.0,0.0,0.0,0.0,60000.0,60000.0,0.0
2702,960564954.0,0.0,0.0,0.0,125000.0,125000.0,0.0
2703,15000000.0,0.0,0.0,0.0,20000.0,20000.0,0.0
2709,162011665.0,0.0,0.0,0.0,30000.0,30000.0,0.0
2749,11141683.0,0.0,0.0,0.0,110000.0,110000.0,0.0
